Position,PlayerName,Team,Opponent,Salary,PPG
1B,Vladimir Guerrero,Orioles,Yankees,5000,0.0
P,Justin Duchscherer,Orioles,Yankees,5000,0.0
P,Mark Hendrickson,Orioles,Yankees,5000,0.0
SS,J.J. Hardy,Orioles,Yankees,7650,11.0
P,Josh Rupe,Orioles,Yankees,5000,0.0
OF,Nick Markakis,Orioles,Yankees,8450,10.4
P,Willie Eyre,Orioles,Yankees,5000,0.0
OF,Adam Jones,Orioles,Yankees,10800,15.3
P,Troy Patton,Orioles,Yankees,5000,3.0
OF,Nolan Reimold,Orioles,Yankees,8150,7.5
P,Mark Worrell,Orioles,Yankees,5000,0.0
1B,Chris Davis,Orioles,Yankees,12250,19.0
P,Tommy Hunter,Orioles,Yankees,6450,4.8
C,Matt Wieters,Orioles,Yankees,9050,11.0
P,Chris Tillman,Orioles,Yankees,11850,23.8
P,Brian Matusz,Orioles,Yankees,7000,2.9
P,Pedro Viola,Orioles,Yankees,5000,0.0
P,Zach Britton,Orioles,Yankees,9300,6.8
2B,Ryan Adams,Orioles,Yankees,5000,0.0
3B,Ryan Adams,Orioles,Yankees,5000,0.0
2B,Blake Davis,Orioles,Yankees,5000,0.0
P,Dennys Reyes,Orioles,Yankees,5000,0.0
P,Ubaldo Jimenez,Orioles,Yankees,12600,23.7
2B,Cord Phelps,Orioles,Yankees,5000,-2.2
OF,Delmon Young,Orioles,Yankees,6450,8.4
P,Daniel Schlereth,Orioles,Yankees,5000,-0.5
1B,Jim Thome,Orioles,Yankees,5000,1.7
2B,Alexi Casilla,Orioles,Yankees,7800,5.3
SS,Alexi Casilla,Orioles,Yankees,7800,5.3
P,Luis Ayala,Orioles,Yankees,5000,2.5
2B,Jemile Weeks,Orioles,Yankees,5000,1.5
P,Aaron Laffey,Orioles,Yankees,8850,1.0
OF,Trayvon Robinson,Orioles,Yankees,5000,0.0
OF,Nelson Cruz,Orioles,Yankees,9500,14.8
P,Darren O'Day,Orioles,Yankees,5000,4.2
OF,Julio Borbon,Orioles,Yankees,5650,3.5
P,Dontrelle Willis,Orioles,Yankees,5000,0.0
P,Edgmer Escalona,Orioles,Yankees,5000,2.0
P,Ryan Webb,Orioles,Yankees,5000,3.1
1B,Brett Wallace,Orioles,Yankees,5000,10.6
3B,Brett Wallace,Orioles,Yankees,5000,10.6
P,Bud Norris,Orioles,Yankees,11300,15.0
P,Johan Santana,Orioles,Yankees,9950,0.0
C,Dane Sardinha,Orioles,Yankees,5000,0.0
OF,Steve Pearce,Orioles,Yankees,7800,8.9
1B,Steve Pearce,Orioles,Yankees,7800,8.9
P,Evan Meek,Orioles,Yankees,5000,4.7
OF,Xavier Paul,Orioles,Yankees,5000,7.0
C,Luis Martinez,Orioles,Yankees,5000,0.0
1B,Chris Marrero,Orioles,Yankees,5000,0.1
P,Dana Eveland,Orioles,Yankees,5000,0.6
P,Brad Brach,Orioles,Yankees,5000,3.3
P,Josh Stinson,Orioles,Yankees,5000,4.4
OF,Antoan Richardson,Orioles,Yankees,5000,0.0
2B,Steve Lombardozzi,Orioles,Yankees,8450,4.9
OF,Steve Lombardozzi,Orioles,Yankees,8450,4.9
OF,Jai Miller,Orioles,Yankees,5000,0.0
OF,Russ Canzler,Orioles,Yankees,5000,1.7
1B,Russ Canzler,Orioles,Yankees,5000,1.7
C,Steve Clevenger,Orioles,Yankees,5000,5.6
OF,David Lough,Orioles,Yankees,6750,9.1
P,Wei-Yin Chen,Orioles,Yankees,11350,16.5
2B,Jonathan Schoop,Orioles,Yankees,5000,5.9
3B,Manny Machado,Orioles,Yankees,9150,12.4
P,Dylan Bundy,Orioles,Yankees,5000,0.0
2B,Ryan Flaherty,Orioles,Yankees,8000,7.7
3B,Ryan Flaherty,Orioles,Yankees,8000,7.7
1B,Nick Johnson,Orioles,Yankees,5000,1.5
P,Miguel Gonzalez,Orioles,Yankees,10650,16.0
P,Stu Pomeranz,Orioles,Yankees,5000,0.0
OF,Quintin Berry,Orioles,Yankees,7450,9.2
P,Steve Johnson,Orioles,Yankees,10500,5.1
OF,Lew Ford,Orioles,Yankees,5000,0.0
OF,Francisco Peguero,Orioles,Yankees,5000,4.3
OF,Adam Greenberg,Orioles,Yankees,5000,0.0
P,Oliver Drake,Orioles,Yankees,5000,0.0
P,Kevin Gausman,Orioles,Yankees,9750,7.0
P,T.J. McFarland,Orioles,Yankees,5000,5.7
P,Zach Clark,Orioles,Yankees,5000,-6.0
3B,David Adams,Orioles,Yankees,5000,6.0
2B,David Adams,Orioles,Yankees,5000,6.0
P,Ryan Buch,Orioles,Yankees,5000,0.0
OF,Henry Urrutia,Orioles,Yankees,7350,3.5
P,Eric Beaulac,Orioles,Yankees,5000,0.0
C,Johnny Monell,Orioles,Yankees,5000,2.2
P,Eduardo Rodriguez,Orioles,Yankees,5000,0.0
P,Hunter Harvey,Orioles,Yankees,5000,0.0
P,Suk-min Yoon,Orioles,Yankees,5000,0.0
3B,Michael Almanzar,Orioles,Yankees,5000,0.0
P,Clay Rapada,Angels,Astros,5000,0.8
P,Hector Santiago,Angels,Astros,11800,13.1
P,Joe Smith,Angels,Astros,5000,3.9
OF,Brennan Boesch,Angels,Astros,6650,7.7
P,Horacio Ramirez,Angels,Astros,5000,0.0
P,Jered Weaver,Angels,Astros,12450,21.8
OF,Reggie Willits,Angels,Astros,5000,0.0
SS,Erick Aybar,Angels,Astros,8650,10.7
2B,Howie Kendrick,Angels,Astros,8150,11.8
P,Kevin Jepsen,Angels,Astros,5000,2.0
3B,Freddy Sandoval,Angels,Astros,5000,0.0
P,Francisco Rodriguez,Angels,Astros,5000,0.0
P,Michael Kohn,Angels,Astros,5000,3.0
C,Hank Conger,Angels,Astros,7250,6.7
OF,Mike Trout,Angels,Astros,14450,20.1
P,Garrett Richards,Angels,Astros,10100,8.6
P,Dane De La Rosa,Angels,Astros,5000,4.2
OF,Josh Hamilton,Angels,Astros,10250,12.8
C,Yorvit Torrealba,Angels,Astros,5000,5.2
P,C.J. Wilson,Angels,Astros,13300,24.0
SS,John McDonald,Angels,Astros,5000,2.0
3B,John McDonald,Angels,Astros,5000,2.0
OF,Collin Cowgill,Angels,Astros,5000,5.0
OF,Matt Young,Angels,Astros,5000,0.0
1B,Carlos Pena,Angels,Astros,7650,9.1
1B,Jorge Cantu,Angels,Astros,5000,0.0
3B,Jorge Cantu,Angels,Astros,5000,0.0
C,Chris Iannetta,Angels,Astros,6100,9.4
3B,Ian Stewart,Angels,Astros,5000,-1.0
2B,Ian Stewart,Angels,Astros,5000,-1.0
P,Chris Volstad,Angels,Astros,5850,-3.0
P,Brandon Lyon,Angels,Astros,5000,1.9
OF,J.B. Shuck,Angels,Astros,6750,9.2
P,Jason Isringhausen,Angels,Astros,5000,0.5
OF,Raul Ibanez,Angels,Astros,8400,12.6
P,Ryan Madson,Angels,Astros,5000,0.0
P,Joe Blanton,Angels,Astros,9950,6.7
1B,Albert Pujols,Angels,Astros,11350,13.4
3B,David Freese,Angels,Astros,8400,9.4
P,Fernando Salas,Angels,Astros,5000,2.2
1B,Brad Hawpe,Angels,Astros,5000,2.8
OF,Brad Hawpe,Angels,Astros,5000,2.8
P,Wade LeBlanc,Angels,Astros,9350,3.2
P,Ernesto Frieri,Angels,Astros,5000,4.8
2B,Bill Hall,Angels,Astros,5000,0.0
OF,Bill Hall,Angels,Astros,5000,0.0
P,Sean Burnett,Angels,Astros,5000,2.6
1B,Efren Navarro,Angels,Astros,5000,6.8
P,Anthony Ortega,Angels,Astros,5000,0.0
2B,Tommy Field,Angels,Astros,5000,1.5
SS,Tommy Field,Angels,Astros,5000,1.5
P,Joe Martinez,Angels,Astros,5000,13.5
