Charlie Culberson,2B,2200
Adam Wainwright,P,9800
Yu Darvish,P,9600
Chris Sale,P,9100
Cliff Lee,P,8900
David Price,P,8600
Cole Hamels,P,8200
Mat Latos,P,8000
James Shields,P,7900
Homer Bailey,P,7900
Masahiro Tanaka,P,7800
Johnny Cueto,P,7500
Sonny Gray,P,7500
Jon Lester,P,7500
Alex Cobb,P,7400
Jered Weaver,P,7300
Matt Garza,P,7200
Lance Lynn,P,7000
Shelby Miller,P,7000
Justin Masterson,P,7000
CC Sabathia,P,6900
Danny Salazar,P,6900
A.J. Burnett,P,6900
Chris Archer,P,6900
Andrew Cashner,P,6900
Clay Buchholz,P,6800
Jake Peavy,P,6700
Marco Estrada,P,6600
Yovani Gallardo,P,6500
Chris Tillman,P,6400
Ivan Nova,P,6400
Jarrod Parker,P,6400
Tommy Hunter,P,6200
Nate Jones,P,6100
Rex Brothers,P,6100
A.J. Griffin,P,6000
Daniel Straily,P,6000
Derek Holland,P,5900
Jose Quintana,P,5800
Ian Kennedy,P,5700
Bruce Chen,P,5700
Ricky Nolasco,P,5700
Joe Kelly,P,5600
Brad Peacock,P,5600
Jhoulys Chacin,P,5600
Cody Allen,P,5600
Tyson Ross,P,5600
Mike Trout,OF,5600
Martin Perez,P,5600
Josh Johnson,P,5500
Samuel Deduno,P,5500
Wily Peralta,P,5500
Carlos Martinez,P,5400
Tyler Skaggs,P,5400
Tyler Chatwood,P,5400
Scott Feldman,P,5300
Michael Pineda,P,5300
Matt Harrison,P,5300
Phil Hughes,P,5300
Tom Milone,P,5300
Jeremy Guthrie,P,5300
Garrett Richards,P,5200
Alexi Ogando,P,5200
Zach McAllister,P,5200
Hector Santiago,P,5200
Luke Hochevar,P,5200
Wei-Yin Chen,P,5200
Bud Norris,P,5100
Tyler Thornburg,P,5100
Eric Stults,P,5000
William Smith,P,5000
Brett Anderson,P,5000
Yordano Ventura,P,5000
Dallas Keuchel,P,5000
Jaime Garcia,P,5000
Mike Leake,P,5000
Carlos Gonzalez,P,4900
Jorge De La Rosa,P,4900
Jerome Williams,P,4900
Joe Wieland,P,4900
Felix Doubront,P,4800
Miguel Gonzalez,P,4700
Wade Davis,P,4700
Brett Oberholtzer,P,4700
Juan Nicasio,P,4700
Joe Saunders,P,4600
John Danks,P,4600
Jake Odorizzi,P,4600
Tim Stauffer,P,4600
Cory Luebke,P,4600
Roberto Hernandez,P,4500
Robbie Ross,P,4500
Kyle Gibson,P,4500
Chris Capuano,P,4500
Evan Longoria,P,4400
Joey Votto,1B,4400
David Phelps,P,4400
Troy Tulowitzki,SS,4400
Adrian Beltre,3B,4400
Chris Davis,1B,4400
Jesse Chavez,P,4400
Jacoby Ellsbury,OF,4300
Drew Pomeranz,P,4300
Carlos Carrasco,P,4300
Alexander Torres,P,4300
Carlos Gomez,OF,4300
Mike Pelfrey,P,4300
Jeremy Hellickson,P,4300
Ryan Braun,OF,4300
Adam Ottavino,P,4200
Alfredo Simon,P,4200
Fernando Rodriguez,P,4200
Edgmer Escalona,P,4200
Sean Doolittle,P,4200
Fernando Abad,P,4200
Sam LeCure,P,4200
Josh Outman,P,4200
Louis Coleman,P,4200
Matt Shoemaker,P,4200
Kevin Siegrist,P,4200
Nick Maronde,P,4200
Shawn Tolleson,P,4200
Ethan Martin,P,4200
Chad Bettis,P,4200
Dan Otero,P,4200
J.J. Hoover,P,4200
Jake Diekman,P,4200
Brett Marshall,P,4200
Francisley Bueno,P,4200
Kevin Chapman,P,4200
Caleb Thielbar,P,4200
Michael Tonkin,P,4200
Josh Fields,P,4200
Brandon Workman,P,4200
Daniel Webb,P,4200
Miguel Alfredo Gonzalez,P,4200
Keith Butler,P,4200
Seth Maness,P,4200
Bobby LaFromboise,P,4200
Curtis Partch,P,4200
Jacob Petricka,P,4200
Vidal Nuno,P,4200
Steven Wright,P,4200
Chen-Chang Lee,P,4200
Pedro Figueroa,P,4200
Adam Warren,P,4200
Dellin Betances,P,4200
Andrew Miller,P,4200
Tim Collins,P,4200
Alex White,P,4200
Justin De Fratus,P,4200
Evan Scribner,P,4200
Aaron Crow,P,4200
Vinnie Pestano,P,4200
Zach Britton,P,4200
Casey Kelly,P,4200
Brandon Gomes,P,4200
Ryan Brasier,P,4200
Josh Lueke,P,4200
B.J. Rosenberg,P,4200
Joseph Ortiz,P,4200
Bryan Shaw,P,4200
Nick Vincent,P,4200
Kelvin Herrera,P,4200
Nick Christiani,P,4200
Josh Lindblom,P,4200
Anthony Bass,P,4200
