"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF/PF","Kevin Durant",10700,"OKC@NY 02:30PM ET",50.167
"SF/PF","LeBron James",10200,"Mia@LAL 05:00PM ET",46.565
"PG/SG","Stephen Curry",9800,"LAC@GS 10:30PM ET",47.885
"SF/PF","Carmelo Anthony",9600,"OKC@NY 02:30PM ET",45.250
"PG","Chris Paul",9500,"LAC@GS 10:30PM ET",47.482
"PF/C","Dwight Howard",9200,"Hou@SA 08:00PM ET",42.888
"PF/C","Blake Griffin",8900,"LAC@GS 10:30PM ET",42.112
"PG","Russell Westbrook",8600,"OKC@NY 02:30PM ET",41.854
"SG/SF","James Harden",8400,"Hou@SA 08:00PM ET",40.935
"PG/SG","Dwyane Wade",8000,"Mia@LAL 05:00PM ET",36.863
"PF/C","David Lee",7600,"LAC@GS 10:30PM ET",35.207
"PG","Deron Williams",7300,"Chi@Bkn 12:00PM ET",28.031
"PF/C","Tim Duncan",7300,"Hou@SA 08:00PM ET",34.220
"PF/C","Pau Gasol",7200,"Mia@LAL 05:00PM ET",33.639
"PF/C","Joakim Noah",7200,"Chi@Bkn 12:00PM ET",32.110
"SF/PF","Chandler Parsons",7100,"Hou@SA 08:00PM ET",32.444
"PF/C","Serge Ibaka",6600,"OKC@NY 02:30PM ET",32.648
"C","DeAndre Jordan",6500,"LAC@GS 10:30PM ET",33.241
"PF/C","Chris Bosh",6400,"Mia@LAL 05:00PM ET",27.788
"SF/PF","Luol Deng",6400,"Chi@Bkn 12:00PM ET",36.100
"SG/SF","Paul Pierce",6300,"Chi@Bkn 12:00PM ET",24.920
"PG","Tony Parker",6300,"Hou@SA 08:00PM ET",30.710
"PF/C","Carlos Boozer",6200,"Chi@Bkn 12:00PM ET",30.577
"SG/SF","Klay Thompson",6200,"LAC@GS 10:30PM ET",30.897
"C","Andrew Bogut",6100,"LAC@GS 10:30PM ET",27.920
"PF/C","Andray Blatche",6000,"Chi@Bkn 12:00PM ET",23.491
"SG/SF","Andre Iguodala",5800,"LAC@GS 10:30PM ET",27.647
"SG/SF","Kawhi Leonard",5700,"Hou@SA 08:00PM ET",27.194
"PG/SG","Jamal Crawford",5600,"LAC@GS 10:30PM ET",25.491
"SG/SF","Joe Johnson",5600,"Chi@Bkn 12:00PM ET",26.808
"PG/SG","Raymond Felton",5500,"OKC@NY 02:30PM ET",23.632
"C","Tyson Chandler",5500,"OKC@NY 02:30PM ET",27.786
"PF/C","Andrea Bargnani",5400,"OKC@NY 02:30PM ET",26.083
"SF/PF","Terrence Jones",5200,"Hou@SA 08:00PM ET",22.538
"SG/SF","Nick Young",5200,"Mia@LAL 05:00PM ET",23.107
"SG","J.J. Redick",5200,"LAC@GS 10:30PM ET",24.147
"SG/SF","J.R. Smith",5200,"OKC@NY 02:30PM ET",24.227
"PF/C","Taj Gibson",5000,"Chi@Bkn 12:00PM ET",23.442
