Position,PlayerName,Team,Opponent,Salary,PPG
PG,Kirk Hinrich,Bulls,Warriors,5750,19.4
SG,Kirk Hinrich,Bulls,Warriors,5750,19.4
PG,D.J. Augustin,Bulls,Warriors,10950,21.1
C,Carlos Boozer,Bulls,Warriors,9750,27.7
PF,Carlos Boozer,Bulls,Warriors,9750,27.7
C,Joakim Noah,Bulls,Warriors,13650,35.2
PF,Joakim Noah,Bulls,Warriors,13650,35.2
C,Taj Gibson,Bulls,Warriors,10400,23.4
PF,Taj Gibson,Bulls,Warriors,10400,23.4
SG,Jimmy Butler,Bulls,Warriors,10350,25.0
SF,Jimmy Butler,Bulls,Warriors,10350,25.0
SG,Mike Dunleavy,Bulls,Warriors,7900,20.7
SF,Mike Dunleavy,Bulls,Warriors,7900,20.7
C,Nazr Mohammed,Bulls,Warriors,5000,5.5
SG,Tony Snell,Bulls,Warriors,5000,10.6
SF,Tony Snell,Bulls,Warriors,5000,10.6
C,Jermaine O'Neal,Warriors,Bulls,5100,13.8
C,David Lee,Warriors,Bulls,11600,34.0
PF,David Lee,Warriors,Bulls,11600,34.0
PG,Stephen Curry,Warriors,Bulls,18150,47.1
SG,Stephen Curry,Warriors,Bulls,18150,47.1
SG,Klay Thompson,Warriors,Bulls,10350,28.6
SF,Klay Thompson,Warriors,Bulls,10350,28.6
C,Andrew Bogut,Warriors,Bulls,12250,28.2
SG,Andre Iguodala,Warriors,Bulls,9050,24.9
SF,Andre Iguodala,Warriors,Bulls,9050,24.9
C,Marreese Speights,Warriors,Bulls,5000,10.4
PF,Marreese Speights,Warriors,Bulls,5000,10.4
PG,Jordan Crawford,Warriors,Bulls,8000,23.6
SG,Jordan Crawford,Warriors,Bulls,8000,23.6
PF,Harrison Barnes,Warriors,Bulls,6950,18.1
SF,Harrison Barnes,Warriors,Bulls,6950,18.1
SF,Draymond Green,Warriors,Bulls,5500,15.5
SG,Joe Johnson,Nets,Spurs,9250,24.6
SF,Joe Johnson,Nets,Spurs,9250,24.6
C,Kevin Garnett,Nets,Spurs,7650,19.5
PF,Kevin Garnett,Nets,Spurs,7650,19.5
PF,Paul Pierce,Nets,Spurs,11300,25.7
SF,Paul Pierce,Nets,Spurs,11300,25.7
PG,Jason Terry,Nets,Spurs,5000,8.5
SG,Jason Terry,Nets,Spurs,5000,8.5
PG,Shaun Livingston,Nets,Spurs,9300,18.3
SG,Shaun Livingston,Nets,Spurs,9300,18.3
PG,Deron Williams,Nets,Spurs,11450,28.2
C,Reggie Evans,Nets,Spurs,5000,8.7
PF,Reggie Evans,Nets,Spurs,5000,8.7
PF,Andrei Kirilenko,Nets,Spurs,6450,12.5
SF,Andrei Kirilenko,Nets,Spurs,6450,12.5
C,Andray Blatche,Nets,Spurs,9450,22.6
PF,Andray Blatche,Nets,Spurs,9450,22.6
SG,Alan Anderson,Nets,Spurs,5000,14.8
SF,Alan Anderson,Nets,Spurs,5000,14.8
PF,Mirza Teletovic,Nets,Spurs,6250,16.4
SF,Mirza Teletovic,Nets,Spurs,6250,16.4
C,Mason Plumlee,Nets,Spurs,6050,12.0
PF,Mason Plumlee,Nets,Spurs,6050,12.0
C,Boris Diaw,Spurs,Nets,7150,18.3
PF,Boris Diaw,Spurs,Nets,7150,18.3
SG,Shannon Brown,Spurs,Nets,5000,2.3
SG,Marco Belinelli,Spurs,Nets,7550,18.8
SF,Marco Belinelli,Spurs,Nets,7550,18.8
PG,Patrick Mills,Spurs,Nets,6350,15.3
C,Tim Duncan,Spurs,Nets,14200,35.6
PF,Tim Duncan,Spurs,Nets,14200,35.6
SG,Manu Ginobili,Spurs,Nets,7900,24.4
SF,Manu Ginobili,Spurs,Nets,7900,24.4
PG,Tony Parker,Spurs,Nets,12700,29.2
PF,Matt Bonner,Spurs,Nets,5000,7.5
C,Tiago Splitter,Spurs,Nets,6700,18.2
SG,Danny Green,Spurs,Nets,7050,17.9
SF,Danny Green,Spurs,Nets,7050,17.9
PG,Cory Joseph,Spurs,Nets,5000,8.7
C,Jeff Ayres,Spurs,Nets,5000,9.2
PF,Jeff Ayres,Spurs,Nets,5000,9.2
C,Aron Baynes,Spurs,Nets,5000,7.0
