Kevin Durant,SF,10800
Stephen Curry,PG,10300
Russell Westbrook,PG,9700
DeMarcus Cousins,C,9600
Michael Carter-Williams,PG,9200
Dwight Howard,C,9100
Kyrie Irving,PG,8800
James Harden,SG,8800
Paul Millsap,PF,8300
Al Horford,C,8200
Tim Duncan,PF,8100
David Lee,PF,7900
Pau Gasol,PF,7700
Isaiah Thomas,PG,7600
Kobe Bryant,SG,7400
Thaddeus Young,PF,7400
Rudy Gay,SF,7300
Arron Afflalo,SG,7200
Chandler Parsons,SF,7200
Evan Turner,SF,7200
Nikola Vucevic,C,7200
Spencer Hawes,C,7200
Jeff Teague,PG,7200
Serge Ibaka,PF,7000
Klay Thompson,SG,6900
Tony Parker,PG,6700
Andrew Bogut,C,6700
Tony Wroten,PG,6400
Victor Oladipo,SG,6300
Tristan Thompson,PF,6200
Andre Iguodala,SF,6200
Kawhi Leonard,SF,6000
Steve Blake,SG,6000
Anderson Varejao,C,6000
Jameer Nelson,PG,5900
Terrence Jones,PF,5900
Jeremy Lin,PG,5700
Glen Davis,PF,5700
Nick Young,SG,5500
Dion Waiters,SG,5500
Reggie Jackson,PG,5500
Xavier Henry,SG,5300
Tobias Harris,PF,5300
Jordan Farmar,PG,5300
Jordan Hill,PF,5200
Harrison Barnes,SF,5200
Kyle Korver,SG,5100
Jodie Meeks,SG,5000
Andrew Bynum,C,5000
Nerlens Noel,C,4900
Manu Ginobili,SG,4900
Steve Nash,PG,4800
DeMarre Carroll,SF,4800
Patrick Beverley,PG,4800
Louis Williams,SG,4700
Jarrett Jack,PG,4600
Wesley Johnson,SF,4600
Chris Kaman,C,4400
Tiago Splitter,C,4400
Carl Landry,PF,4300
Derrick Williams,PF,4300
Boris Diaw,PF,4100
Shelvin Mack,PG,4100
Kendall Marshall,PG,4000
Jeremy Lamb,SF,3900
Danny Green,SG,3900
Jason Richardson,SG,3900
Jason Thompson,PF,3900
Ben McLemore,SG,3800
James Anderson,SG,3800
Aaron Brooks,PG,3800
Lavoy Allen,PF,3700
Marco Belinelli,SG,3700
Marreese Speights,PF,3600
Hollis Thompson,SF,3600
Marcus Thornton,SG,3600
Nick Collison,PF,3600
Matthew Dellavedova,PG,3600
Andrew Nicholson,PF,3600
Elton Brand,PF,3600
Tyler Zeller,C,3500
Lorenzo Brown,PG,3500
Steven Adams,C,3500
Nando De Colo,SG,3500
Aron Baynes,C,3500
Dennis Schroeder,PG,3500
Doron Lamb,SG,3500
Draymond Green,SF,3500
Anthony Bennett,PF,3500
Arnett Moultrie,PF,3500
Nemanja Nedovic,SG,3500
Jared Cunningham,SG,3500
Kyle O'Quinn,C,3500
Sergey Karasev,SG,3500
Brandon Davies,SF,3500
Dewayne Dedmon,C,3500
Gustavo Ayon,PF,3500
Greg Smith,C,3500
Festus Ezeli,C,3500
Pero Antic,C,3500
Ray McCallum,PG,3500
Kent Bazemore,SG,3500
Mike Scott,PF,3500
Robert Covington,SF,3500
Isaiah Canaan,PG,3500
Robert Sacre,C,3500
Elias Harris,SF,3500
Maurice Harkless,SF,3500
John Jenkins,SG,3500
Daniel Orton,C,3500
Ronnie Price,PG,3500
Hedo Turkoglu,PF,3500
Matt Bonner,SF,3500
Travis Outlaw,SF,3500
Ronnie Brewer,SF,3500
C.J. Miles,SG,3500
Francisco Garcia,SG,3500
Solomon Jones,C,3500
Toney Douglas,PG,3500
Earl Clark,SF,3500
Thabo Sefolosha,SG,3500
Kwame Brown,C,3500
Jason Maxiell,PF,3500
Kendrick Perkins,C,3500
Derek Fisher,PG,3500
Hasheem Thabeet,C,3500
Hilton Armstrong,C,3500
Ryan Gomes,SF,3500
Jermaine O'Neal,C,3500
Aaron Gray,C,3500
Cartier Martin,SF,3500
E'Twaun Moore,SG,3500
Darius Morris,PG,3500
Cory Joseph,PG,3500
Donatas Motiejunas,PF,3500
Carrick Felix,SG,3500
Quincy Acy,PF,3500
Ryan Kelly,SF,3500
Andre Roberson,SG,3500
Perry Jones III,SF,3500
Jimmer Fredette,SG,3500
Omer Asik,C,3500
Jeff Ayres,C,3500
Patrick Mills,PG,3500
Shawne Williams,SF,3500
Henry Sims,C,3500
Omri Casspi,SF,3500
Hamady Ndiaye,C,3500
Elliot Williams,SG,3500
Alonzo Gee,SF,3500
Malcolm Thomas,PF,3300
