Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
PF-C,Kevin Love,MIN,MIN @ PHI, 7:00 PM,49.4,19200,"",
PG,Chris Paul,LAC,LAC vs ORL,10:30 PM,44.7,18700,"",OUT
PF,Blake Griffin,LAC,LAC vs ORL,10:30 PM,40.1,16200,"",
PF,Thaddeus Young,PHI,PHI vs MIN, 7:00 PM,32.6,15400,"",
SF,Evan Turner,PHI,PHI vs MIN, 7:00 PM,33.1,14500,"",
PF,Paul Millsap,ATL,ATL @ BKN, 7:30 PM,35.8,13700,"",
C,Nikola Pekovic,MIN,MIN @ PHI, 7:00 PM,31.2,13400,"",
SG,Victor Oladipo,ORL,ORL @ LAC,10:30 PM,24.6,13200,"",
C,Nikola Vucevic,ORL,ORL @ LAC,10:30 PM,32.6,13000,"",OUT
C,DeAndre Jordan,LAC,LAC vs ORL,10:30 PM,32.2,12900,"",
SG-SF,Arron Afflalo,ORL,ORL @ LAC,10:30 PM,32.1,12700,"",
PG,Michael Carter-Williams,PHI,PHI vs MIN, 7:00 PM,38.9,12200,"",
C,Spencer Hawes,PHI,PHI vs MIN, 7:00 PM,32.5,12200,"",
PG,Jeff Teague,ATL,ATL @ BKN, 7:30 PM,32.2,12000,"",
PG,Ricky Rubio,MIN,MIN @ PHI, 7:00 PM,30.6,12000,"",
SG,Kevin Martin,MIN,MIN @ PHI, 7:00 PM,27.9,11500,"",
PG,Deron Williams,BKN,BKN vs ATL, 7:30 PM,26.4,11400,"",
PG,Jameer Nelson,ORL,ORL @ LAC,10:30 PM,26.6,11200,"",
PF-C,Glen Davis,ORL,ORL @ LAC,10:30 PM,26.6,10800,"",
SF,Paul Pierce,BKN,BKN vs ATL, 7:30 PM,23.7,10300,"",
SG,JJ Redick,LAC,LAC vs ORL,10:30 PM,22.8,10200,"",OUT
SG,Jamal Crawford,LAC,LAC vs ORL,10:30 PM,23.4,10000,"",
SF,DeMarre Carroll,ATL,ATL @ BKN, 7:30 PM,21.0,10000,"",
SF,Corey Brewer,MIN,MIN @ PHI, 7:00 PM,20.2,9900,"",
SG-SF,Kyle Korver,ATL,ATL @ BKN, 7:30 PM,22.9,9900,"",
SF-PF,Tobias Harris,ORL,ORL @ LAC,10:30 PM,23.1,9200,"",
PF,Andray Blatche,BKN,BKN vs ATL, 7:30 PM,22.2,8900,"",
PG,Darren Collison,LAC,LAC vs ORL,10:30 PM,15.7,8800,"",
