Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
PF-C,Anthony Davis,NOP,NOP @ ATL, 7:30 PM,43.6,20000,"",OUT
SF,Kevin Durant,OKC,OKC @ TOR, 7:00 PM,50.5,20000,"",
SF,LeBron James,MIA,MIA vs MEM, 7:30 PM,45.6,18800,"",OUT
SF,Carmelo Anthony,NYK,NYK @ PHI, 7:00 PM,44.2,18000,"",
C,DeMarcus Cousins,SAC,SAC vs SAS,10:00 PM,43.1,17700,"",
C,Joakim Noah,CHI,CHI @ IND, 7:00 PM,37.0,16300,"",
PG,Russell Westbrook,OKC,OKC @ TOR, 7:00 PM,39.5,16300,"",OUT
PF,Paul Millsap,ATL,ATL vs NOP, 7:30 PM,36.3,15900,"",
PG,John Wall,WAS,WAS @ LAL,10:30 PM,39.4,15400,"",
PG,Kyle Lowry,TOR,TOR vs OKC, 7:00 PM,36.1,15400,"",
SG,DeMar DeRozan,TOR,TOR vs OKC, 7:00 PM,35.0,15000,"",
PG,Isaiah Thomas,SAC,SAC vs SAS,10:00 PM,33.8,14800,"",
SG-SF,Paul George,IND,IND vs CHI, 7:00 PM,37.0,14800,"",
PF-C,Pau Gasol,LAL,LAL vs WAS,10:30 PM,36.6,14700,"",
PG,Ty Lawson,DEN,DEN @ DAL, 8:30 PM,36.5,14400,"",OUT
PF-C,Greg Monroe,DET,DET @ PHO,10:00 PM,30.6,14200,"",
PG,Rajon Rondo,BOS,BOS @ BKN, 7:30 PM,31.3,13900,"",
PF,Tim Duncan,SAS,SAS @ SAC,10:00 PM,34.8,13700,"",
PG,Michael Carter-Williams,PHI,PHI vs NYK, 7:00 PM,34.7,13700,"",
PF,Thaddeus Young,PHI,PHI vs NYK, 7:00 PM,32.1,13600,"",
C,Marc Gasol,MEM,MEM @ MIA, 7:30 PM,30.8,13500,"",
SG,Dwyane Wade,MIA,MIA vs MEM, 7:30 PM,33.7,13400,"",OUT
PG,Jeff Teague,ATL,ATL vs NOP, 7:30 PM,29.7,13300,"",
C,Marcin Gortat,WAS,WAS @ LAL,10:30 PM,29.2,13200,"",
SG-SF,Tyreke Evans,NOP,NOP @ ATL, 7:30 PM,26.9,13200,"",
PF,Kenneth Faried,DEN,DEN @ DAL, 8:30 PM,26.1,13100,"",
SF,Rudy Gay,SAC,SAC vs SAS,10:00 PM,33.7,13000,"",
C,Andre Drummond,DET,DET @ PHO,10:00 PM,34.6,13000,"",OUT
PF-C,Serge Ibaka,OKC,OKC @ TOR, 7:00 PM,32.4,13000,"",
PG,Deron Williams,BKN,BKN vs BOS, 7:30 PM,28.2,12800,"",
PF,Zach Randolph,MEM,MEM @ MIA, 7:30 PM,33.0,12800,"",
PF,Dirk Nowitzki,DAL,DAL vs DEN, 8:30 PM,34.3,12700,"",
C,Brook Lopez,BKN,BKN vs BOS, 7:30 PM,32.6,12700,"",OUT
SG,Monta Ellis,DAL,DAL vs DEN, 8:30 PM,32.7,12500,"",
SG,Lance Stephenson,IND,IND vs CHI, 7:00 PM,29.7,12400,"",
SF-PF,Josh Smith,DET,DET @ PHO,10:00 PM,33.9,12400,"",
PG,Mike Conley,MEM,MEM @ MIA, 7:30 PM,31.1,12300,"",
PG,Brandon Jennings,DET,DET @ PHO,10:00 PM,32.1,11900,"",
PG,Goran Dragic,PHO,PHO vs DET,10:00 PM,33.8,11900,"",
PF-C,Chris Bosh,MIA,MIA vs MEM, 7:30 PM,29.2,11700,"",
SG,Bradley Beal,WAS,WAS @ LAL,10:30 PM,27.2,11400,"",
SF,Trevor Ariza,WAS,WAS @ LAL,10:30 PM,29.2,11400,"",
SG-SF,Kawhi Leonard,SAS,SAS @ SAC,10:00 PM,26.4,11300,"",
PG,Eric Bledsoe,PHO,PHO vs DET,10:00 PM,31.9,11200,"",
PF-C,Nene Hilario,WAS,WAS @ LAL,10:30 PM,28.1,11000,"",OUT
PF-C,Taj Gibson,CHI,CHI @ IND, 7:00 PM,25.3,11000,"",
PG,Jrue Holiday,NOP,NOP @ ATL, 7:30 PM,32.3,11000,"",OUT
PF,Amir Johnson,TOR,TOR vs OKC, 7:00 PM,23.6,11000,"",
SG-SF,Jimmy Butler,CHI,CHI @ IND, 7:00 PM,26.3,10900,"",
PG,Tony Parker,SAS,SAS @ SAC,10:00 PM,28.6,10900,"",
PF,Carlos Boozer,CHI,CHI @ IND, 7:00 PM,26.9,10800,"",
SG-SF,Joe Johnson,BKN,BKN vs BOS, 7:30 PM,23.6,10800,"",
PF,David West,IND,IND vs CHI, 7:00 PM,28.4,10800,"",
C,JJ Hickson,DEN,DEN @ DAL, 8:30 PM,26.3,10800,"",
SF-PF,Jeff Green,BOS,BOS @ BKN, 7:30 PM,25.8,10600,"",
PF-C,Jared Sullinger,BOS,BOS @ BKN, 7:30 PM,26.2,10500,"",
PF,Ryan Anderson,NOP,NOP @ ATL, 7:30 PM,29.6,10500,"",OUT
C,Tyson Chandler,NYK,NYK @ PHI, 7:00 PM,26.5,10400,"",
SF,Shawn Marion,DAL,DAL vs DEN, 8:30 PM,23.2,10300,"",
SG,Eric Gordon,NOP,NOP @ ATL, 7:30 PM,24.4,10100,"",
SG,Kobe Bryant,LAL,LAL vs WAS,10:30 PM,25.8,10100,"",OUT
PF,Markieff Morris,PHO,PHO vs DET,10:00 PM,24.5,10000,"",
SG,Tony Wroten,PHI,PHI vs NYK, 7:00 PM,21.6,9900,"",
