"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF/PF","Kevin Durant",11200,"OKC@Ind 01:00PM ET",53.696
"PG/SG","Stephen Curry",10400,"GS@Por 09:00PM ET",45.743
"PF/C","Kevin Love",10200,"Min@Sac 09:00PM ET",51.899
"SF/PF","Carmelo Anthony",9800,"Chi@NY 07:30PM ET",46.576
"PF/C","LaMarcus Aldridge",9600,"GS@Por 09:00PM ET",44.805
"PF/C","DeMarcus Cousins",9400,"Min@Sac 09:00PM ET",46.400
"PF/C","Joakim Noah",9000,"Chi@NY 07:30PM ET",39.701
"PG","Russell Westbrook",8800,"OKC@Ind 01:00PM ET",42.534
"SG/SF","Paul George",8800,"OKC@Ind 01:00PM ET",39.820
"SG/SF","DeMar DeRozan",8000,"Tor@Det 03:30PM ET",36.497
"PG","Damian Lillard",8000,"GS@Por 09:00PM ET",36.134
"PF/C","Andre Drummond",8000,"Tor@Det 03:30PM ET",36.541
"PF/C","David Lee",7800,"GS@Por 09:00PM ET",35.082
"PF/C","Greg Monroe",7700,"Tor@Det 03:30PM ET",32.675
"PG","Kyle Lowry",7700,"Tor@Det 03:30PM ET",38.688
"PF/C","Zach Randolph",7600,"Mem@LAL 09:30PM ET",35.243
"SG/SF","J.R. Smith",7600,"Chi@NY 07:30PM ET",26.444
"C","Brook Lopez",7500,"Orl@Bkn 06:00PM ET",33.382
"PF/C","Serge Ibaka",7500,"OKC@Ind 01:00PM ET",33.615
"PG","Isaiah Thomas",7500,"Min@Sac 09:00PM ET",36.382
"C","Marc Gasol",7500,"Mem@LAL 09:30PM ET",32.366
"SG/SF","Nicolas Batum",7300,"GS@Por 09:00PM ET",33.291
"PG","Mike Conley",7300,"Mem@LAL 09:30PM ET",32.925
"SF/PF","Rudy Gay",7200,"Min@Sac 09:00PM ET",35.274
"PF/C","Jason Thompson",7200,"Min@Sac 09:00PM ET",17.697
"SG/SF","Klay Thompson",7200,"GS@Por 09:00PM ET",28.965
"PG","Brandon Jennings",7100,"Tor@Det 03:30PM ET",33.631
"PG","Ricky Rubio",7000,"Min@Sac 09:00PM ET",32.076
"SG/SF","Nick Young",6800,"Mem@LAL 09:30PM ET",25.049
"PF/C","Nikola Vucevic",6800,"Orl@Bkn 06:00PM ET",34.412
"SG/SF","Jimmy Butler",6500,"Chi@NY 07:30PM ET",27.965
"PF/C","Jordan Hill",6500,"Mem@LAL 09:30PM ET",21.851
"PF","David West",6500,"OKC@Ind 01:00PM ET",29.329
"C","Jonas Valanciunas",6400,"Tor@Det 03:30PM ET",25.272
"PG","Deron Williams",6400,"Orl@Bkn 06:00PM ET",30.020
"C","Gorgui Dieng",6400,"Min@Sac 09:00PM ET",13.289
"SF/PF","Josh Smith",6400,"Tor@Det 03:30PM ET",34.747
"PG","Ray McCallum",6300,"Min@Sac 09:00PM ET",13.233
"C","Nikola Pekovic",6200,"Min@Sac 09:00PM ET",31.491
"PG/SG","Victor Oladipo",6200,"Orl@Bkn 06:00PM ET",28.727
"C","Robin Lopez",6100,"GS@Por 09:00PM ET",27.053
"PG","D.J. Augustin",6000,"Chi@NY 07:30PM ET",23.768
"PF/C","Carlos Boozer",6000,"Chi@NY 07:30PM ET",27.781
"PG","Jameer Nelson",5800,"Orl@Bkn 06:00PM ET",28.393
"SG/SF","MarShon Brooks",5800,"Mem@LAL 09:30PM ET",8.689
"SF","Draymond Green",5800,"GS@Por 09:00PM ET",19.117
"SG/SF","Corey Brewer",5700,"Min@Sac 09:00PM ET",22.019
"PF/C","Amir Johnson",5700,"Tor@Det 03:30PM ET",24.432
"C","Tyson Chandler",5700,"Chi@NY 07:30PM ET",26.245
"SG/SF","Wesley Matthews",5600,"GS@Por 09:00PM ET",27.238
"SF","Caron Butler",5600,"OKC@Ind 01:00PM ET",20.236
"PF/C","Taj Gibson",5600,"Chi@NY 07:30PM ET",26.677
"SG","Jodie Meeks",5600,"Mem@LAL 09:30PM ET",24.774
"SF/PF","Paul Pierce",5500,"Orl@Bkn 06:00PM ET",25.795
"SG/SF","Arron Afflalo",5500,"Orl@Bkn 06:00PM ET",29.400
"SG/SF","Lance Stephenson",5400,"OKC@Ind 01:00PM ET",30.773
"SG/SF","Joe Johnson",5400,"Orl@Bkn 06:00PM ET",25.841
"PF/C","Pau Gasol",5400,"Mem@LAL 09:30PM ET",38.033
"SF/PF","Tobias Harris",5300,"Orl@Bkn 06:00PM ET",27.772
"PG/SG","Raymond Felton",5300,"Chi@NY 07:30PM ET",24.635
"PG/SG","Kirk Hinrich",5200,"Chi@NY 07:30PM ET",21.018
"C","Roy Hibbert",5100,"OKC@Ind 01:00PM ET",25.649
"PF/C","Kyle O'Quinn",5000,"Orl@Bkn 06:00PM ET",17.477
"SG/SF","Andre Iguodala",5000,"GS@Por 09:00PM ET",24.677
"PG","Kendall Marshall",5000,"Mem@LAL 09:30PM ET",26.142
"C","Andrew Bynum",5000,"OKC@Ind 01:00PM ET",19.452
"PF/C","Amar'e Stoudemire",5000,"Chi@NY 07:30PM ET",20.125
"SG/SF","Wesley Johnson",5000,"Mem@LAL 09:30PM ET",20.487
"PF/C","Mason Plumlee",5000,"Orl@Bkn 06:00PM ET",15.993
"SG/SF","Kent Bazemore",4900,"Mem@LAL 09:30PM ET",11.638
"PF/C","Andray Blatche",4900,"Orl@Bkn 06:00PM ET",22.846
"PF/C","Andrea Bargnani",4900,"Chi@NY 07:30PM ET",24.452
"PG/SG","Reggie Jackson",4900,"OKC@Ind 01:00PM ET",26.383
"SG/SF","Mike Dunleavy",4900,"Chi@NY 07:30PM ET",22.617
"PG/SG","Rodney Stuckey",4800,"Tor@Det 03:30PM ET",20.823
"PG/SG","Greivis Vasquez",4800,"Tor@Det 03:30PM ET",18.957
"C","Andrew Bogut",4800,"GS@Por 09:00PM ET",27.038
"PF/C","Nick Collison",4800,"OKC@Ind 01:00PM ET",11.785
"PF","Ryan Kelly",4800,"Mem@LAL 09:30PM ET",17.665
"SG","Tim Hardaway Jr.",4700,"Chi@NY 07:30PM ET",14.705
"SG/SF","Courtney Lee",4700,"Mem@LAL 09:30PM ET",17.270
"PG/SG","George Hill",4700,"OKC@Ind 01:00PM ET",23.057
"PF/C","Chris Kaman",4700,"Mem@LAL 09:30PM ET",21.827
"PF/C","Luis Scola",4600,"OKC@Ind 01:00PM ET",15.369
"PG/SG","Shaun Livingston",4600,"Orl@Bkn 06:00PM ET",19.757
"SG/SF","Evan Turner",4600,"OKC@Ind 01:00PM ET",26.373
"PF/C","Marreese Speights",4400,"GS@Por 09:00PM ET",12.266
"SF/PF","Travis Outlaw",4400,"Min@Sac 09:00PM ET",10.971
"SG","Ben McLemore",4200,"Min@Sac 09:00PM ET",14.803
"SG/SF","Kyle Singler",4200,"Tor@Det 03:30PM ET",17.897
"PF","Thomas Robinson",4200,"GS@Por 09:00PM ET",11.801
"PG/SG","Jordan Crawford",4200,"GS@Por 09:00PM ET",20.096
"PF/C","Kevin Garnett",4200,"Orl@Bkn 06:00PM ET",19.957
"PG","Jordan Farmar",4200,"Mem@LAL 09:30PM ET",22.921
"SG/SF","Terrence Ross",4100,"Tor@Det 03:30PM ET",18.997
"SF","Maurice Harkless",4100,"Orl@Bkn 06:00PM ET",16.425
"C","Jermaine O'Neal",4100,"GS@Por 09:00PM ET",17.768
"SF/PF","Harrison Barnes",4100,"GS@Por 09:00PM ET",18.297
"SF/PF","Chris Copeland",4000,"OKC@Ind 01:00PM ET",5.506
"SF/PF","Jonas Jerebko",4000,"Tor@Det 03:30PM ET",9.190
"PG/SG","Mo Williams",4000,"GS@Por 09:00PM ET",20.096
"PF/C","Patrick Patterson",3900,"Tor@Det 03:30PM ET",19.718
"PG","Steve Nash",3800,"Mem@LAL 09:30PM ET",17.203
"SF/PF","James Johnson",3800,"Mem@LAL 09:30PM ET",18.343
"SG","Marcus Thornton",3600,"Orl@Bkn 06:00PM ET",16.460
"PG/SG","Donald Sloan",3600,"OKC@Ind 01:00PM ET",4.989
"PG","Jorge Gutierrez",3500,"Orl@Bkn 06:00PM ET",9.542
