"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF/PF","LeBron James",10400,"Bkn@Mia 07:00PM ET",48.451
"PF/C","LaMarcus Aldridge",9600,"Por@SA 09:30PM ET",45.612
"PG","Damian Lillard",8500,"Por@SA 09:30PM ET",36.427
"PG","Deron Williams",7400,"Bkn@Mia 07:00PM ET",29.868
"PF/C","Tim Duncan",7400,"Por@SA 09:30PM ET",35.966
"PG","Tony Parker",7200,"Por@SA 09:30PM ET",28.941
"PG/SG","Dwyane Wade",7200,"Bkn@Mia 07:00PM ET",33.881
"SG/SF","Nicolas Batum",7200,"Por@SA 09:30PM ET",33.166
"SG/SF","Joe Johnson",7100,"Bkn@Mia 07:00PM ET",26.336
"SF/PF","Paul Pierce",6000,"Bkn@Mia 07:00PM ET",25.642
"SG/SF","Kawhi Leonard",6000,"Por@SA 09:30PM ET",28.422
"PF/C","Chris Bosh",6000,"Bkn@Mia 07:00PM ET",29.869
"SG/SF","Wesley Matthews",5800,"Por@SA 09:30PM ET",26.829
"C","Robin Lopez",5400,"Por@SA 09:30PM ET",27.205
"C","Tiago Splitter",5200,"Por@SA 09:30PM ET",20.511
"PF/C","Kevin Garnett",5000,"Bkn@Mia 07:00PM ET",19.411
"PG","Mario Chalmers",4900,"Bkn@Mia 07:00PM ET",23.708
"SG/SF","Manu Ginobili",4900,"Por@SA 09:30PM ET",25.359
"PG/SG","Shaun Livingston",4700,"Bkn@Mia 07:00PM ET",19.551
"SG/SF","Danny Green",4500,"Por@SA 09:30PM ET",19.181
"PF/C","Andray Blatche",4300,"Bkn@Mia 07:00PM ET",22.071
"PF/C","Chris Andersen",4000,"Bkn@Mia 07:00PM ET",17.026
"SF/PF","Mirza Teletovic",3900,"Bkn@Mia 07:00PM ET",16.159
"SG/SF","Alan Anderson",3800,"Bkn@Mia 07:00PM ET",13.294
"SG/SF","Marco Belinelli",3800,"Por@SA 09:30PM ET",18.898
"PG/SG","Mo Williams",3700,"Por@SA 09:30PM ET",19.602
"SG","Ray Allen",3700,"Bkn@Mia 07:00PM ET",17.686
"PF/C","Mason Plumlee",3600,"Bkn@Mia 07:00PM ET",15.782
"SG","Marcus Thornton",3600,"Bkn@Mia 07:00PM ET",16.354
"PF/C","Boris Diaw",3500,"Por@SA 09:30PM ET",19.641
"SG/SF","Dorell Wright",3500,"Por@SA 09:30PM ET",11.277
"PG","Jorge Gutierrez",3400,"Bkn@Mia 07:00PM ET",9.641
"SG/SF","James Jones",3400,"Bkn@Mia 07:00PM ET",8.750
"PF","Thomas Robinson",3400,"Por@SA 09:30PM ET",11.568
"PF","Udonis Haslem",3400,"Bkn@Mia 07:00PM ET",9.676
"SF/PF","Andrei Kirilenko",3400,"Bkn@Mia 07:00PM ET",12.913
"C","Brook Lopez",3400,"Bkn@Mia 07:00PM ET",33.382
"PG","Norris Cole",3300,"Bkn@Mia 07:00PM ET",14.943
"SF/PF","Rashard Lewis",3300,"Bkn@Mia 07:00PM ET",9.992
"PG","Patty Mills",3100,"Por@SA 09:30PM ET",17.357
"PG","Marquis Teague",3000,"Bkn@Mia 07:00PM ET",6.425
"PG","Cory Joseph",3000,"Por@SA 09:30PM ET",10.372
"SG/SF","Shane Battier",3000,"Bkn@Mia 07:00PM ET",10.430
"SG","Will Barton",3000,"Por@SA 09:30PM ET",7.856
"SG","Allen Crabbe",3000,"Por@SA 09:30PM ET",4.050
"PG/SG","C.J. McCollum",3000,"Por@SA 09:30PM ET",8.306
"SG/SF","Victor Claver",3000,"Por@SA 09:30PM ET",5.534
"PF/C","Meyers Leonard",3000,"Por@SA 09:30PM ET",6.866
"PF/C","Jason Collins",3000,"Bkn@Mia 07:00PM ET",3.148
"C","Aron Baynes",3000,"Por@SA 09:30PM ET",7.455
"PF/C","Joel Freeland",3000,"Por@SA 09:30PM ET",9.470
"PG/SG","Toney Douglas",3000,"Bkn@Mia 07:00PM ET",8.665
"PG","Earl Watson",3000,"Por@SA 09:30PM ET",3.150
"PF/C","Jeff Ayres",3000,"Por@SA 09:30PM ET",8.987
"SF/PF","Austin Daye",3000,"Por@SA 09:30PM ET",5.761
"SF/PF","Michael Beasley",3000,"Bkn@Mia 07:00PM ET",14.085
"C","Justin Hamilton",3000,"Bkn@Mia 07:00PM ET",5.531
"C","Greg Oden",3000,"Bkn@Mia 07:00PM ET",7.391
"SF","Damion James",3000,"Por@SA 09:30PM ET",5.400
"PF","Matt Bonner",3000,"Por@SA 09:30PM ET",6.949
