Position,PlayerName,Team,Opponent,Salary,PPG
PG,Kirk Hinrich,Bulls,Knicks,7300,20.2
SG,Kirk Hinrich,Bulls,Knicks,7300,20.2
PG,D.J. Augustin,Bulls,Knicks,11200,23.2
C,Carlos Boozer,Bulls,Knicks,8950,26.0
PF,Carlos Boozer,Bulls,Knicks,8950,26.0
C,Joakim Noah,Bulls,Knicks,17450,38.4
PF,Joakim Noah,Bulls,Knicks,17450,38.4
C,Taj Gibson,Bulls,Knicks,11850,25.1
PF,Taj Gibson,Bulls,Knicks,11850,25.1
SG,Jimmy Butler,Bulls,Knicks,11050,26.6
SF,Jimmy Butler,Bulls,Knicks,11050,26.6
SG,Mike Dunleavy,Bulls,Knicks,9300,21.9
SF,Mike Dunleavy,Bulls,Knicks,9300,21.9
C,Nazr Mohammed,Bulls,Knicks,5000,5.3
PG,Jimmer Fredette,Bulls,Knicks,5000,9.0
SG,Jimmer Fredette,Bulls,Knicks,5000,9.0
SG,Tony Snell,Bulls,Knicks,5000,8.8
SF,Tony Snell,Bulls,Knicks,5000,8.8
C,Jermaine O'Neal,Warriors,Trail Blazers,6850,16.9
C,David Lee,Warriors,Trail Blazers,12100,33.4
PF,David Lee,Warriors,Trail Blazers,12100,33.4
PG,Stephen Curry,Warriors,Trail Blazers,20500,45.0
SG,Stephen Curry,Warriors,Trail Blazers,20500,45.0
SG,Klay Thompson,Warriors,Trail Blazers,11600,28.1
SF,Klay Thompson,Warriors,Trail Blazers,11600,28.1
PG,Steve Blake,Warriors,Trail Blazers,7150,20.6
SG,Steve Blake,Warriors,Trail Blazers,7150,20.6
C,Andrew Bogut,Warriors,Trail Blazers,9450,26.4
SG,Andre Iguodala,Warriors,Trail Blazers,8250,24.1
SF,Andre Iguodala,Warriors,Trail Blazers,8250,24.1
C,Marreese Speights,Warriors,Trail Blazers,5500,11.5
PF,Marreese Speights,Warriors,Trail Blazers,5500,11.5
PG,Jordan Crawford,Warriors,Trail Blazers,5000,19.2
SG,Jordan Crawford,Warriors,Trail Blazers,5000,19.2
PF,Harrison Barnes,Warriors,Trail Blazers,6900,17.3
SF,Harrison Barnes,Warriors,Trail Blazers,6900,17.3
SF,Draymond Green,Warriors,Trail Blazers,8300,18.5
C,Jordan Hill,Lakers,Grizzlies,11300,20.9
