Position,PlayerName,Team,Opponent,Salary,PPG
PG,Jeff Teague,Hawks,Heat,12200,30.4
SG,Kyle Korver,Hawks,Heat,10250,25.1
SF,Kyle Korver,Hawks,Heat,10250,25.1
PF,Antawn Jamison,Hawks,Heat,5000,7.9
C,Elton Brand,Hawks,Heat,7400,15.9
PF,Elton Brand,Hawks,Heat,7400,15.9
PG,Lou Williams,Hawks,Heat,6950,18.7
SG,Lou Williams,Hawks,Heat,6950,18.7
C,Paul Millsap,Hawks,Heat,14800,37.3
PF,Paul Millsap,Hawks,Heat,14800,37.3
PG,Shelvin Mack,Hawks,Heat,6300,16.3
PF,DeMarre Carroll,Hawks,Heat,9150,23.7
SF,DeMarre Carroll,Hawks,Heat,9150,23.7
C,Gustavo Ayon,Hawks,Heat,7500,13.6
PF,Gustavo Ayon,Hawks,Heat,7500,13.6
SG,Cartier Martin,Hawks,Heat,5000,9.5
SF,Cartier Martin,Hawks,Heat,5000,9.5
PF,Mike Scott,Hawks,Heat,7100,15.1
PG,Dennis Schroder,Hawks,Heat,5000,7.5
C,Mike Muscala,Hawks,Heat,5000,7.1
C,Pero Antic,Hawks,Heat,8150,15.3
PG,Rajon Rondo,Celtics,Cavaliers,15650,33.7
SG,Jeff Green,Celtics,Cavaliers,10550,25.8
SF,Jeff Green,Celtics,Cavaliers,10550,25.8
PG,Avery Bradley,Celtics,Cavaliers,8350,22.1
SG,Avery Bradley,Celtics,Cavaliers,8350,22.1
C,Kris Humphries,Celtics,Cavaliers,6150,18.8
PF,Kris Humphries,Celtics,Cavaliers,6150,18.8
C,Brandon Bass,Celtics,Cavaliers,7750,20.6
PF,Brandon Bass,Celtics,Cavaliers,7750,20.6
PF,Gerald Wallace,Celtics,Cavaliers,6400,15.2
SF,Gerald Wallace,Celtics,Cavaliers,6400,15.2
PG,Jerryd Bayless,Celtics,Cavaliers,10000,16.9
SG,Jerryd Bayless,Celtics,Cavaliers,10000,16.9
C,Jared Sullinger,Celtics,Cavaliers,11550,26.7
PF,Jared Sullinger,Celtics,Cavaliers,11550,26.7
PF,Chris Johnson,Celtics,Cavaliers,6350,11.3
SF,Chris Johnson,Celtics,Cavaliers,6350,11.3
C,Kelly Olynyk,Celtics,Cavaliers,7350,17.1
PG,Phil Pressey,Celtics,Cavaliers,5400,10.0
C,Vitor Faverani,Celtics,Cavaliers,5000,10.8
SG,Gerald Henderson,Bobcats,76ers,8650,23.1
SF,Gerald Henderson,Bobcats,76ers,8650,23.1
C,Bismack Biyombo,Bobcats,76ers,5000,10.8
PG,Kemba Walker,Bobcats,76ers,13900,33.5
PG,Jannero Pargo,Bobcats,76ers,5000,8.9
SG,Ben Gordon,Bobcats,76ers,5000,8.8
C,Josh McRoberts,Bobcats,76ers,9200,23.5
PF,Josh McRoberts,Bobcats,76ers,9200,23.5
SG,Chris Douglas-Roberts,Bobcats,76ers,6150,13.0
SF,Chris Douglas-Roberts,Bobcats,76ers,6150,13.0
PG,Luke Ridnour,Bobcats,76ers,6100,11.6
SG,Luke Ridnour,Bobcats,76ers,6100,11.6
PF,Anthony Tolliver,Bobcats,76ers,6600,12.1
SF,Anthony Tolliver,Bobcats,76ers,6600,12.1
PG,Gary Neal,Bobcats,76ers,7450,15.0
SG,Gary Neal,Bobcats,76ers,7450,15.0
C,Al Jefferson,Bobcats,76ers,17850,40.0
PF,Al Jefferson,Bobcats,76ers,17850,40.0
SF,Michael Kidd-Gilchrist,Bobcats,76ers,5700,16.0
SG,Jeffery Taylor,Bobcats,76ers,5000,12.2
SF,Jeffery Taylor,Bobcats,76ers,5000,12.2
C,Cody Zeller,Bobcats,76ers,6400,13.7
PF,Cody Zeller,Bobcats,76ers,6400,13.7
PF,Luol Deng,Cavaliers,Celtics,9100,27.9
SF,Luol Deng,Cavaliers,Celtics,9100,27.9
C,Anderson Varejao,Cavaliers,Celtics,8650,26.2
PF,Anderson Varejao,Cavaliers,Celtics,8650,26.2
SG,Alonzo Gee,Cavaliers,Celtics,5000,8.4
SF,Alonzo Gee,Cavaliers,Celtics,5000,8.4
PG,Kyrie Irving,Cavaliers,Celtics,15900,36.5
SG,Kyrie Irving,Cavaliers,Celtics,15900,36.5
C,Tristan Thompson,Cavaliers,Celtics,8250,25.0
PF,Tristan Thompson,Cavaliers,Celtics,8250,25.0
PG,Jarrett Jack,Cavaliers,Celtics,10050,19.4
SG,Jarrett Jack,Cavaliers,Celtics,10050,19.4
C,Spencer Hawes,Cavaliers,Celtics,11350,31.1
PF,Spencer Hawes,Cavaliers,Celtics,11350,31.1
SG,C.J. Miles,Cavaliers,Celtics,6950,16.3
SF,C.J. Miles,Cavaliers,Celtics,6950,16.3
SG,Dion Waiters,Cavaliers,Celtics,13950,24.1
C,Tyler Zeller,Cavaliers,Celtics,5000,11.5
PF,Tyler Zeller,Cavaliers,Celtics,5000,11.5
PF,Anthony Bennett,Cavaliers,Celtics,5000,8.4
SF,Anthony Bennett,Cavaliers,Celtics,5000,8.4
PG,Matthew Dellavedova,Cavaliers,Celtics,7700,11.5
C,Dirk Nowitzki,Mavericks,Suns,12450,35.2
PF,Dirk Nowitzki,Mavericks,Suns,12450,35.2
PF,Shawn Marion,Mavericks,Suns,9450,23.6
SF,Shawn Marion,Mavericks,Suns,9450,23.6
PG,Monta Ellis,Mavericks,Suns,12700,32.9
SG,Monta Ellis,Mavericks,Suns,12700,32.9
C,Brandan Wright,Mavericks,Suns,5000,17.0
PF,Brandan Wright,Mavericks,Suns,5000,17.0
SG,Vince Carter,Mavericks,Suns,7950,22.3
SF,Vince Carter,Mavericks,Suns,7950,22.3
C,Samuel Dalembert,Mavericks,Suns,7150,18.3
C,DeJuan Blair,Mavericks,Suns,5800,14.4
PF,DeJuan Blair,Mavericks,Suns,5800,14.4
PG,Jose Calderon,Mavericks,Suns,9150,24.1
PG,Devin Harris,Mavericks,Suns,7100,17.3
SG,Devin Harris,Mavericks,Suns,7100,17.3
PF,Jae Crowder,Mavericks,Suns,5000,10.9
SF,Jae Crowder,Mavericks,Suns,5000,10.9
PG,Shane Larkin,Mavericks,Suns,5000,6.6
SG,Wilson Chandler,Nuggets,Jazz,8500,24.7
SF,Wilson Chandler,Nuggets,Jazz,8500,24.7
PG,Ty Lawson,Nuggets,Jazz,13850,36.7
C,Timofey Mozgov,Nuggets,Jazz,11300,19.9
PF,Kenneth Faried,Nuggets,Jazz,12650,27.6
PG,Randy Foye,Nuggets,Jazz,13700,23.9
SG,Randy Foye,Nuggets,Jazz,13700,23.9
C,Darrell Arthur,Nuggets,Jazz,5100,12.8
PF,Darrell Arthur,Nuggets,Jazz,5100,12.8
C,Anthony Randolph,Nuggets,Jazz,5050,10.3
PF,Anthony Randolph,Nuggets,Jazz,5050,10.3
PG,Aaron Brooks,Nuggets,Jazz,10000,17.1
C,J.J. Hickson,Nuggets,Jazz,9900,26.3
PF,J.J. Hickson,Nuggets,Jazz,9900,26.3
PF,Jan Vesely,Nuggets,Jazz,6000,10.9
SG,Evan Fournier,Nuggets,Jazz,9300,14.2
SF,Quincy Miller,Nuggets,Jazz,7400,10.3
C,Omer Asik,Rockets,Pelicans,9200,17.4
PF,Omer Asik,Rockets,Pelicans,9200,17.4
SF,Omri Casspi,Rockets,Pelicans,5250,14.4
SF,Jordan Hamilton,Rockets,Pelicans,5500,14.0
PG,Jeremy Lin,Rockets,Pelicans,9250,23.4
SG,Jeremy Lin,Rockets,Pelicans,9250,23.4
PF,Donatas Motiejunas,Rockets,Pelicans,7500,11.5
SF,Donatas Motiejunas,Rockets,Pelicans,7500,11.5
PF,Chandler Parsons,Rockets,Pelicans,11550,31.7
SF,Chandler Parsons,Rockets,Pelicans,11550,31.7
SG,James Harden,Rockets,Pelicans,17300,42.7
SF,James Harden,Rockets,Pelicans,17300,42.7
C,Dwight Howard,Rockets,Pelicans,16050,39.6
PF,Dwight Howard,Rockets,Pelicans,16050,39.6
SG,Francisco Garcia,Rockets,Pelicans,5350,12.7
SF,Francisco Garcia,Rockets,Pelicans,5350,12.7
PF,Terrence Jones,Rockets,Pelicans,10600,25.4
SF,Terrence Jones,Rockets,Pelicans,10600,25.4
PG,Patrick Beverley,Rockets,Pelicans,8100,21.8
SG,Patrick Beverley,Rockets,Pelicans,8100,21.8
PG,Isaiah Canaan,Rockets,Pelicans,7050,8.2
SG,Ray Allen,Heat,Hawks,6350,17.8
C,Chris Andersen,Heat,Hawks,5850,16.6
PF,Chris Andersen,Heat,Hawks,5850,16.6
SG,Shane Battier,Heat,Hawks,5200,10.5
SF,Shane Battier,Heat,Hawks,5200,10.5
PF,LeBron James,Heat,Hawks,19850,46.9
SF,LeBron James,Heat,Hawks,19850,46.9
C,Chris Bosh,Heat,Hawks,10550,28.9
PF,Chris Bosh,Heat,Hawks,10550,28.9
PG,Dwyane Wade,Heat,Hawks,11550,33.2
SG,Dwyane Wade,Heat,Hawks,11550,33.2
SG,James Jones,Heat,Hawks,5000,7.5
SF,James Jones,Heat,Hawks,5000,7.5
PF,Udonis Haslem,Heat,Hawks,5350,8.7
PG,Mario Chalmers,Heat,Hawks,8950,23.6
PG,Norris Cole,Heat,Hawks,5850,14.5
PF,Michael Beasley,Heat,Hawks,5000,13.2
SF,Michael Beasley,Heat,Hawks,5000,13.2
PG,Toney Douglas,Heat,Hawks,5000,8.1
SG,Toney Douglas,Heat,Hawks,5000,8.1
C,Greg Oden,Heat,Hawks,5000,7.0
PF,Rashard Lewis,Heat,Hawks,5050,10.1
SF,Rashard Lewis,Heat,Hawks,5050,10.1
C,Zaza Pachulia,Bucks,Wizards,8850,20.0
PG,Ramon Sessions,Bucks,Wizards,9700,20.7
SG,Ramon Sessions,Bucks,Wizards,9700,20.7
PG,Brandon Knight,Bucks,Wizards,11800,29.8
SG,Brandon Knight,Bucks,Wizards,11800,29.8
C,Ekpe Udoh,Bucks,Wizards,5000,10.7
PF,Ekpe Udoh,Bucks,Wizards,5000,10.7
PF,Jeff Adrien,Bucks,Wizards,11300,15.8
SF,Jeff Adrien,Bucks,Wizards,11300,15.8
PG,O.J. Mayo,Bucks,Wizards,6200,18.6
SG,O.J. Mayo,Bucks,Wizards,6200,18.6
PF,Chris Wright,Bucks,Wizards,5750,14.9
SF,Chris Wright,Bucks,Wizards,5750,14.9
C,John Henson,Bucks,Wizards,9350,24.9
PF,John Henson,Bucks,Wizards,9350,24.9
PF,Khris Middleton,Bucks,Wizards,9200,21.4
SF,Khris Middleton,Bucks,Wizards,9200,21.4
C,Miroslav Raduljica,Bucks,Wizards,5000,7.4
SG,Giannis Antetokounmpo,Bucks,Wizards,6000,17.0
SF,Giannis Antetokounmpo,Bucks,Wizards,6000,17.0
PG,Nate Wolters,Bucks,Wizards,6300,15.7
SG,Eric Gordon,Pelicans,Rockets,8600,24.8
SF,Al-Farouq Aminu,Pelicans,Rockets,5950,19.1
SG,Anthony Morrow,Pelicans,Rockets,7600,12.5
SF,Anthony Morrow,Pelicans,Rockets,7600,12.5
SF,Luke Babbitt,Pelicans,Rockets,5000,11.9
SG,Tyreke Evans,Pelicans,Rockets,12150,27.4
SF,Tyreke Evans,Pelicans,Rockets,12150,27.4
C,Alexis Ajinca,Pelicans,Rockets,7450,14.0
PF,Alexis Ajinca,Pelicans,Rockets,7450,14.0
C,Greg Stiemsma,Pelicans,Rockets,6800,11.7
C,Anthony Davis,Pelicans,Rockets,14650,42.2
PF,Anthony Davis,Pelicans,Rockets,14650,42.2
PG,Austin Rivers,Pelicans,Rockets,5850,13.0
SG,Austin Rivers,Pelicans,Rockets,5850,13.0
SG,Darius Miller,Pelicans,Rockets,5000,7.7
SF,Darius Miller,Pelicans,Rockets,5000,7.7
PG,Brian Roberts,Pelicans,Rockets,7850,17.2
SG,Brian Roberts,Pelicans,Rockets,7850,17.2
C,Jeff Withey,Pelicans,Rockets,5000,8.3
PG,Eric Maynor,76ers,Bobcats,5000,6.8
C,Byron Mullens,76ers,Bobcats,5700,7.9
PF,Byron Mullens,76ers,Bobcats,5700,7.9
C,Daniel Orton,76ers,Bobcats,5000,8.8
PF,Daniel Orton,76ers,Bobcats,5000,8.8
PF,Thaddeus Young,76ers,Bobcats,12700,32.0
SF,Thaddeus Young,76ers,Bobcats,12700,32.0
SG,Elliot Williams,76ers,Bobcats,6900,10.3
SG,James Anderson,76ers,Bobcats,7300,19.6
SF,James Anderson,76ers,Bobcats,7300,19.6
PG,Tony Wroten,76ers,Bobcats,9050,21.3
PF,Arnett Moultrie,76ers,Bobcats,5000,8.1
PF,Hollis Thompson,76ers,Bobcats,6700,12.9
SF,Hollis Thompson,76ers,Bobcats,6700,12.9
PF,Jarvis Varnado,76ers,Bobcats,6550,10.6
SF,Jarvis Varnado,76ers,Bobcats,6550,10.6
C,Henry Sims,76ers,Bobcats,10500,16.1
PG,Michael Carter-Williams,76ers,Bobcats,13800,35.5
PG,Lorenzo Brown,76ers,Bobcats,5000,6.6
PG,Goran Dragic,Suns,Mavericks,13400,34.9
SG,Goran Dragic,Suns,Mavericks,13400,34.9
PF,Marcus Morris,Suns,Mavericks,5200,17.8
PG,Eric Bledsoe,Suns,Mavericks,13200,33.7
SG,Eric Bledsoe,Suns,Mavericks,13200,33.7
PG,Ish Smith,Suns,Mavericks,5000,10.5
C,Channing Frye,Suns,Mavericks,6900,22.2
PF,Channing Frye,Suns,Mavericks,6900,22.2
C,Markieff Morris,Suns,Mavericks,9400,25.1
PF,Markieff Morris,Suns,Mavericks,9400,25.1
PG,Leandro Barbosa,Suns,Mavericks,5000,12.2
SG,Leandro Barbosa,Suns,Mavericks,5000,12.2
SG,Gerald Green,Suns,Mavericks,9250,25.1
SF,Gerald Green,Suns,Mavericks,9250,25.1
C,Miles Plumlee,Suns,Mavericks,8200,21.0
PF,Miles Plumlee,Suns,Mavericks,8200,21.0
PG,Dionte Christmas,Suns,Mavericks,5000,4.3
SG,Dionte Christmas,Suns,Mavericks,5000,4.3
SG,P.J. Tucker,Suns,Mavericks,9300,23.1
