Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Kevin Durant,OKC,OKC vs CLE, 8:00 PM,50.4,20000,"",
PG,Chris Paul,LAC,LAC vs HOU,10:30 PM,44.2,17800,"",
SG,James Harden,HOU,HOU @ LAC,10:30 PM,39.1,17200,"",
PF-C,Anthony Davis,NOP,NOP @ DAL, 8:00 PM,42.8,17100,"",
PF,LaMarcus Aldridge,POR,POR vs BKN,10:00 PM,44.3,16800,"",OUT
PF,Blake Griffin,LAC,LAC vs HOU,10:30 PM,42.4,16400,"",
C,Dwight Howard,HOU,HOU @ LAC,10:30 PM,39.5,16100,"",
PG,Stephen Curry,GSW,GSW @ CHI, 8:00 PM,42.9,16000,"",
PF,Thaddeus Young,PHI,PHI vs ORL, 7:00 PM,31.6,15400,"",
C,Joakim Noah,CHI,CHI vs GSW, 8:00 PM,36.1,15200,"",
PF,Paul Millsap,ATL,ATL @ BOS, 7:30 PM,35.9,14700,"",OUT
PG,Damian Lillard,POR,POR vs BKN,10:00 PM,34.3,14500,"",
PF,David Lee,GSW,GSW @ CHI, 8:00 PM,34.4,14400,"",OUT
SF-PF,Josh Smith,DET,DET @ SAS, 8:30 PM,33.8,14400,"",
PG,Goran Dragic,PHO,PHO @ UTA, 9:00 PM,34.2,14000,"",
PF-C,Pau Gasol,LAL,LAL @ MEM, 8:00 PM,36.0,13800,"",
PG,Kyrie Irving,CLE,CLE @ OKC, 8:00 PM,35.3,13600,"",
PF-C,Greg Monroe,DET,DET @ SAS, 8:30 PM,29.7,13600,"",
C,DeAndre Jordan,LAC,LAC vs HOU,10:30 PM,34.4,13600,"",
PF,Tim Duncan,SAS,SAS vs DET, 8:30 PM,35.2,13200,"",
PG,Russell Westbrook,OKC,OKC vs CLE, 8:00 PM,38.1,13200,"",
PF,Dirk Nowitzki,DAL,DAL vs NOP, 8:00 PM,35.1,13100,"",
C,Nikola Vucevic,ORL,ORL @ PHI, 7:00 PM,31.6,13000,"",
SF-PF,Tobias Harris,ORL,ORL @ PHI, 7:00 PM,26.3,12800,"",
PG,Deron Williams,BKN,BKN @ POR,10:00 PM,27.5,12800,"",
C,Brook Lopez,BKN,BKN @ POR,10:00 PM,32.6,12700,"",OUT
PG,Eric Bledsoe,PHO,PHO @ UTA, 9:00 PM,32.5,12700,"",OUT
SG,Victor Oladipo,ORL,ORL @ PHI, 7:00 PM,26.9,12700,"",
SG,Monta Ellis,DAL,DAL vs NOP, 8:00 PM,32.6,12600,"",
SF,Chandler Parsons,HOU,HOU @ LAC,10:30 PM,30.7,12600,"",
SF,Nicolas Batum,POR,POR vs BKN,10:00 PM,29.5,12600,"",
C,Andre Drummond,DET,DET @ SAS, 8:30 PM,34.6,12500,"",
PG,Michael Carter-Williams,PHI,PHI vs ORL, 7:00 PM,35.1,12400,"",
SG-SF,Arron Afflalo,ORL,ORL @ PHI, 7:00 PM,29.3,12400,"",OUT
PF,Zach Randolph,MEM,MEM vs LAL, 8:00 PM,33.2,12300,"",
PG,Jeff Teague,ATL,ATL @ BOS, 7:30 PM,29.3,12200,"",
C,Spencer Hawes,CLE,CLE @ OKC, 8:00 PM,30.1,12200,"",
C,Marc Gasol,MEM,MEM vs LAL, 8:00 PM,29.1,12100,"",
PF-C,Serge Ibaka,OKC,OKC vs CLE, 8:00 PM,31.8,11900,"",
PG,Brandon Jennings,DET,DET @ SAS, 8:30 PM,33.8,11900,"",
PG,Mike Conley,MEM,MEM vs LAL, 8:00 PM,32.2,11900,"",
SF,Luol Deng,CLE,CLE @ OKC, 8:00 PM,29.7,11900,"",
SG,Jamal Crawford,LAC,LAC vs HOU,10:30 PM,27.0,11800,"",
PF,Derrick Favors,UTA,UTA vs PHO, 9:00 PM,28.6,11800,"",
PG,Tony Parker,SAS,SAS vs DET, 8:30 PM,29.0,11800,"",OUT
PG,Rajon Rondo,BOS,BOS vs ATL, 7:30 PM,28.2,11600,"",
PF,Ryan Anderson,NOP,NOP @ DAL, 8:00 PM,29.6,11600,"",OUT
SG-SF,Gordon Hayward,UTA,UTA vs PHO, 9:00 PM,31.6,11400,"",
PG,Jrue Holiday,NOP,NOP @ DAL, 8:00 PM,32.3,11000,"",OUT
PF,Markieff Morris,PHO,PHO @ UTA, 9:00 PM,24.3,11000,"",
C,Anderson Varejao,CLE,CLE @ OKC, 8:00 PM,28.2,11000,"",OUT
PG,Trey Burke,UTA,UTA vs PHO, 9:00 PM,24.6,10800,"",
PG,Kendall Marshall,LAL,LAL @ MEM, 8:00 PM,26.5,10800,"",
C,Robin Lopez,POR,POR vs BKN,10:00 PM,25.7,10800,"",
SF-PF,Jeff Green,BOS,BOS vs ATL, 7:30 PM,25.7,10700,"",
PF,Jared Sullinger,BOS,BOS vs ATL, 7:30 PM,26.6,10700,"",OUT
PF,Carlos Boozer,CHI,CHI vs GSW, 8:00 PM,28.0,10700,"",
SG,Wesley Matthews,POR,POR vs BKN,10:00 PM,26.1,10400,"",
C,Enes Kanter,UTA,UTA vs PHO, 9:00 PM,21.5,10300,"",
SG-SF,Jimmy Butler,CHI,CHI vs GSW, 8:00 PM,25.5,10200,"",OUT
SG-SF,Joe Johnson,BKN,BKN @ POR,10:00 PM,23.3,10100,"",
SG-SF,Andre Iguodala,GSW,GSW @ CHI, 8:00 PM,24.4,10100,"",
SG,Kobe Bryant,LAL,LAL @ MEM, 8:00 PM,25.8,10100,"",OUT
PF,Tristan Thompson,CLE,CLE @ OKC, 8:00 PM,25.7,10000,"",
SG-SF,Vince Carter,DAL,DAL vs NOP, 8:00 PM,21.2,10000,"",
SF,Shawn Marion,DAL,DAL vs NOP, 8:00 PM,23.8,9900,"",
PF-C,Taj Gibson,CHI,CHI vs GSW, 8:00 PM,25.1,9900,"",
PF,Mike Scott,ATL,ATL @ BOS, 7:30 PM,15.9,9800,"",
C,Andrew Bogut,GSW,GSW @ CHI, 8:00 PM,27.4,9800,"",
SG,Klay Thompson,GSW,GSW @ CHI, 8:00 PM,26.9,9800,"",
PF,Thomas Robinson,POR,POR vs BKN,10:00 PM,10.7,9800,"",
SG-SF,Gerald Green,PHO,PHO @ UTA, 9:00 PM,22.6,9700,"",
SG-SF,Kawhi Leonard,SAS,SAS vs DET, 8:30 PM,24.9,9700,"",OUT
PF-C,Channing Frye,PHO,PHO @ UTA, 9:00 PM,22.6,9600,"",
PF-C,Andray Blatche,BKN,BKN @ POR,10:00 PM,22.6,9600,"",
PG,Jose Calderon,DAL,DAL vs NOP, 8:00 PM,22.8,9600,"",
SF,Danny Granger,PHI,PHI vs ORL, 7:00 PM,14.9,9500,"",
PF-C,Glen Davis,LAC,LAC vs HOU,10:30 PM,24.0,9400,"",
SF,Paul Pierce,BKN,BKN @ POR,10:00 PM,24.4,9400,"",
SG,Tyreke Evans,NOP,NOP @ DAL, 8:00 PM,24.8,9300,"",
PG,Jameer Nelson,ORL,ORL @ PHI, 7:00 PM,26.0,9300,"",
SG-SF,PJ Tucker,PHO,PHO @ UTA, 9:00 PM,22.1,9100,"",
SG,Louis Williams,ATL,ATL @ BOS, 7:30 PM,18.3,8900,"",
PF,Brandon Bass,BOS,BOS vs ATL, 7:30 PM,21.8,8900,"",
SF,DeMarre Carroll,ATL,ATL @ BOS, 7:30 PM,22.5,8900,"",
SG,Jodie Meeks,LAL,LAL @ MEM, 8:00 PM,21.8,8800,"",
PF-C,Jordan Hill,LAL,LAL @ MEM, 8:00 PM,19.6,8800,"",
