name,position,projection
Quincy Acy,F,8.512262,5000
DeMarcus Cousins,F,43.962799,16350
Jimmer Fredette,G,8.542670,5650
Rudy Gay,F,34.622854,13050
Ray McCallum,G,0.207598,5000
Ben McLemore,G,15.056695,-1
Hamady NDiaye,C,2.822823,-1
Travis Outlaw,F,12.190248,5000
Isaiah Thomas,G,31.145675,12850
Jason Thompson,F,15.612133,5550
Marcus Thornton,G,14.954722,5900
Derrick Williams,F,14.982208,7750
Bismack Biyombo,F,14.502231,5000
Ben Gordon,G,12.252128,5000
Gerald Henderson,G,27.178940,9350
Al Jefferson,F,36.059478,12850
Josh McRoberts,F,25.915977,8600
Ramon Sessions,G,18.381812,5900
Jeff Taylor,F,12.692950,-1
Kemba Walker,G,34.071369,11800
Cody Zeller,F,13.105579,5000
LaMarcus Aldridge,F,47.006333,18050
Nicolas Batum,F,34.794737,13450
Joel Freeland,F,10.175578,5000
Damian Lillard,G,31.108534,12150
Robin Lopez,C,23.559548,9600
Wesley Matthews,G,24.593184,10000
Thomas Robinson,F,10.793517,5000
Mo Williams,G,16.970402,7600
Dorell Wright,G,9.008519,5000
LaMarcus Aldridge,F,45.476139,18050
Will Barton,G,4.839059,-1
Nicolas Batum,F,33.827151,13450
Anthony Bennett,F,4.050969,5000
Andrew Bynum,C,16.350053,6150
Earl Clark,F,10.401601,5000
Allen Crabbe,G,4.997916,-1
Matthew Dellavedova,G,7.597250,5000
Joel Freeland,F,10.337523,5000
Alonzo Gee,G,8.569357,5000
Kyrie Irving,G,28.814845,14800
Jarrett Jack,G,16.951304,7800
Meyers Leonard,C,7.631842,5000
Damian Lillard,G,42.887326,12150
Robin Lopez,C,27.755832,9600
Wesley Matthews,G,33.678002,10000
C.J. Miles,G,13.027159,5000
Thomas Robinson,F,10.421290,5000
Tristan Thompson,F,21.533074,9150
Anderson Varejao,F,21.674365,10100
Dion Waiters,G,19.388748,8150
Earl Watson,G,2.861594,-1
Mo Williams,G,23.623579,7600
Dorell Wright,G,12.532515,5000
Steven Adams,C,12.205190,5000
Darrell Arthur,F,11.937603,5000
Wilson Chandler,F,23.098131,10150
Nick Collison,F,10.605017,5000
Kevin Durant,F,50.750962,19600
Kenneth Faried,F,23.385817,8950
Derek Fisher,G,6.177522,-1
Randy Foye,G,16.249715,5900
Jordan Hamilton,G,16.370104,5000
J.J. Hickson,F,23.694354,10000
Serge Ibaka,F,33.352754,11300
Reggie Jackson,G,21.104734,8800
Jeremy Lamb,G,14.796607,7250
Ty Lawson,G,31.340722,11450
Andre Miller,G,14.528378,6500
Timofey Mozgov,C,13.427719,6050
Kendrick Perkins,C,9.239134,5000
Nate Robinson,G,17.101144,7200
Thabo Sefolosha,G,14.788139,5950
Russell Westbrook,G,35.357877,16800
Al-Farouq Aminu,F,22.925816,9250
Louis Amundson,F,9.308060,5000
Ryan Anderson,F,36.105702,12950
Harrison Barnes,F,22.766656,9300
Kent Bazemore,G,3.952240,-1
Andrew Bogut,C,15.676951,10900
Stephen Curry,G,41.250362,17550
Toney Douglas,G,8.221348,5000
Eric Gordon,G,23.321964,10000
Draymond Green,F,14.763138,6500
Jrue Holiday,G,30.829857,13000
David Lee,F,33.582164,12750
Darius Miller,F,0.089167,-1
Anthony Morrow,G,9.392871,5000
Austin Rivers,G,6.144191,5000
Brian Roberts,G,9.181147,5000
Jason Smith,F,24.815145,9600
Marreese Speights,F,9.131522,5000
Klay Thompson,G,28.428528,10750
Jeff Withey,C,3.697350,5000
Kobe Bryant,G,22.781833,11300
Pau Gasol,F,27.829589,12050
Xavier Henry,G,14.916370,6400
Jordan Hill,F,21.306771,8150
Wesley Johnson,F,17.224978,7250
Ryan Kelly,F,4.788008,-1
Jodie Meeks,G,18.122553,7150
Robert Sacre,C,9.780397,5000
Shawne Williams,F,12.258689,5800
Nick Young,G,20.550499,7900
Tony Allen,G,23.528460,7400
Jerryd Bayless,G,14.528448,5000
Nick Calathes,G,7.646800,5000
Mike Conley,G,35.264029,12150
Ed Davis,F,13.075756,6500
Jon Leuer,F,16.756648,7900
Mike Miller,F,12.995142,5000
Tayshaun Prince,F,12.338815,5000
Zach Randolph,F,27.315387,11400
