name,position,projection
Quincy Acy,F,8.989181,3000
DeMarcus Cousins,F,48.294105,9500
Jimmer Fredette,G,9.463965,3000
Rudy Gay,F,39.593237,6800
Ray McCallum,G,0.710045,3000
Ben McLemore,G,17.555461,5000
Hamady NDiaye,C,3.023510,3000
Travis Outlaw,F,13.180757,3000
Isaiah Thomas,G,34.682802,6800
Jason Thompson,F,17.374519,4200
Marcus Thornton,G,17.185554,3400
Derrick Williams,F,16.796942,4700
Bismack Biyombo,F,15.196013,3000
Ben Gordon,G,14.111926,3000
Gerald Henderson,G,30.609321,5700
Al Jefferson,F,38.460536,7500
Josh McRoberts,F,27.753668,4700
Ramon Sessions,G,20.987638,4300
Jeff Taylor,F,15.021402,-1
Kemba Walker,G,38.230389,7700
Cody Zeller,F,14.661938,5600
LaMarcus Aldridge,F,50.532021,9600
Nicolas Batum,F,37.170834,7200
Joel Freeland,F,11.230892,3000
Damian Lillard,G,34.144525,7600
Robin Lopez,C,25.037313,5700
Wesley Matthews,G,26.175515,5600
Thomas Robinson,F,12.003192,3000
Mo Williams,G,19.333942,4400
Dorell Wright,G,9.822521,3000
LaMarcus Aldridge,F,48.946009,9600
Will Barton,G,5.659855,3000
Nicolas Batum,F,36.327979,7200
Anthony Bennett,F,5.251595,4700
Andrew Bynum,C,18.484632,4500
Earl Clark,F,11.458605,3000
Allen Crabbe,G,5.094654,3100
Matthew Dellavedova,G,8.130176,3000
Joel Freeland,F,11.339338,3000
Alonzo Gee,G,9.621305,3000
Kyrie Irving,G,33.454684,8100
Jarrett Jack,G,19.269442,4800
Meyers Leonard,C,7.910878,3000
Damian Lillard,G,46.042587,7600
Robin Lopez,C,29.302895,5700
Wesley Matthews,G,35.025720,5600
C.J. Miles,G,14.568775,3100
Thomas Robinson,F,11.585191,3000
Tristan Thompson,F,24.045230,6100
Anderson Varejao,F,23.290901,5700
Dion Waiters,G,22.744790,5200
Earl Watson,G,3.706107,3000
Mo Williams,G,26.137415,4400
Dorell Wright,G,13.280908,3000
Steven Adams,C,13.194227,3200
Darrell Arthur,F,12.995469,3000
Wilson Chandler,F,24.844842,5600
Nick Collison,F,11.562649,3000
Kevin Durant,F,54.677917,10700
Kenneth Faried,F,25.154068,5500
Derek Fisher,G,6.977088,3000
Randy Foye,G,18.126894,3500
Jordan Hamilton,G,17.663103,3800
J.J. Hickson,F,26.012318,5600
Serge Ibaka,F,35.769423,6900
Reggie Jackson,G,23.279723,4700
Jeremy Lamb,G,15.943008,3900
Ty Lawson,G,34.870174,6600
Andre Miller,G,15.826193,3900
Timofey Mozgov,C,14.824618,3700
Kendrick Perkins,C,10.373986,3000
Nate Robinson,G,18.976306,4600
Thabo Sefolosha,G,16.206322,3000
Russell Westbrook,G,40.089399,8600
Al-Farouq Aminu,F,24.793751,5400
Louis Amundson,F,10.239841,3000
Ryan Anderson,F,39.140824,7000
Harrison Barnes,F,25.286180,5600
Kent Bazemore,G,4.770664,3000
Andrew Bogut,C,17.125037,5900
Stephen Curry,G,45.587444,10100
Toney Douglas,G,9.157115,3000
Eric Gordon,G,26.125114,5800
Draymond Green,F,16.108776,3200
Jrue Holiday,G,34.176396,7900
David Lee,F,36.320033,7500
Darius Miller,F,0.492139,3000
Anthony Morrow,G,10.252843,3000
Austin Rivers,G,6.953739,3300
Brian Roberts,G,10.108819,3000
Jason Smith,F,26.928567,4800
Marreese Speights,F,10.335865,3000
Klay Thompson,G,31.391307,6500
Jeff Withey,C,3.895755,3000
Kobe Bryant,G,28.672013,6900
Pau Gasol,F,30.680789,6900
Xavier Henry,G,17.014133,3600
Jordan Hill,F,22.470867,4800
Wesley Johnson,F,18.430279,4200
Ryan Kelly,F,5.020614,3000
Jodie Meeks,G,19.898924,3800
Robert Sacre,C,10.331595,3000
Shawne Williams,F,13.278914,3300
Nick Young,G,22.975245,5000
Tony Allen,G,25.864504,3900
Jerryd Bayless,G,16.557577,3700
Nick Calathes,G,9.137841,3000
Mike Conley,G,38.578181,7000
Ed Davis,F,14.093331,4200
Jon Leuer,F,18.058869,4600
Mike Miller,F,14.219452,3000
Tayshaun Prince,F,13.931503,3300
Zach Randolph,F,30.911822,7000
