name,position,projection,salary
Trevor Ariza,SG/SF,28.979807,-1
Brandon Bass,PF/C,26.699189,-1
Bradley Beal,SG,34.533662,-1
Trevor Booker,PF,16.772768,-1
Avery Bradley,PG/SG,22.462289,-1
Jordan Crawford,PG/SG,27.811577,-1
Vitor Faverani,C,12.776470,-1
Marcin Gortat,C,29.971126,-1
Jeff Green,SG/SF,29.396314,-1
Nene Hilario,PF/C,27.936176,-1
Kris Humphries,PF,15.130675,-1
Courtney Lee,SG/SF,12.060233,-1
Kelly Olynyk,C,18.048819,-1
Otto Porter,None,3.422555,-1
Phil Pressey,PG,7.741116,-1
Kevin Seraphin,PF/C,6.859632,-1
Jared Sullinger,PF/C,30.565650,-1
Garrett Temple,PG/SG,4.900376,-1
John Wall,PG,44.501879,-1
Gerald Wallace,SF/PF,16.741639,-1
Martell Webster,SG/SF,26.063172,-1
Bismack Biyombo,C,14.851719,3000
Trey Burke,PG,28.105464,6300
Alec Burks,PG/SG,23.293647,5000
Chris Douglas-Roberts,SG/SF,1.970378,3000
Jeremy Evans,SF/PF,19.776846,3500
Derrick Favors,PF/C,31.433098,7100
Diante Garrett,PG/SG,10.378528,3000
Ben Gordon,SG,10.878075,3000
Mike Harris,SF,8.615263,3000
Gordon Hayward,SG/SF,32.898722,7000
Gerald Henderson,SG/SF,26.758625,5900
Al Jefferson,PF/C,40.708179,7700
Richard Jefferson,SF,17.508358,3400
Enes Kanter,C,21.899612,4500
John Lucas,None,10.268281,-1
Josh McRoberts,PF/C,27.928723,4600
Brandon Rush,SG,5.677732,3000
Ramon Sessions,PG/SG,18.423222,4400
Jeff Taylor,None,15.223336,-1
Anthony Tolliver,SF/PF,8.651092,3000
Kemba Walker,PG,33.928786,7800
Marvin Williams,SF/PF,21.628645,4800
Cody Zeller,PF/C,14.555200,5600
Andrew Bynum,C,22.533459,4500
Earl Clark,SF/PF,12.790728,3100
Matthew Dellavedova,PG,8.424153,3000
Alonzo Gee,SG/SF,10.228289,3000
Kyrie Irving,PG/SG,36.415225,8500
Jarrett Jack,PG/SG,21.166813,4900
C.J. Miles,SG/SF,15.620150,3200
Tristan Thompson,PF/C,29.057704,5900
Anderson Varejao,PF/C,26.249131,5800
D.J. Augustin,PG,9.952679,4400
Carlos Boozer,PF/C,30.499079,6100
Jimmy Butler,SG/SF,23.424848,5100
Mike Dunleavy,SG/SF,21.004847,4300
Taj Gibson,PF/C,23.238101,4900
Nazr Mohammed,C,6.096326,3000
Erik Murphy,PF/C,0.600820,3000
Joakim Noah,PF/C,34.653527,7400
Tony Snell,SG/SF,9.475464,3000
Marquis Teague,PG,6.501107,3000
Patrick Beverley,PG/SG,18.422029,4500
Chauncey Billups,PG/SG,11.099784,3000
Ronnie Brewer,SG/SF,1.635377,3000
Aaron Brooks,PG,11.486796,3000
Will Bynum,PG,12.757834,3000
Kentavious Caldwell-Pope,SG,11.939365,5500
Omri Casspi,SF,15.306147,3300
Andre Drummond,PF/C,31.883540,7400
Francisco Garcia,SG/SF,12.847723,3000
James Harden,SG/SF,34.688323,9500
Josh Harrellson,PF/C,7.577152,3000
Dwight Howard,PF/C,36.886593,9400
Brandon Jennings,PG,31.128727,8000
Terrence Jones,SF/PF,19.875214,5000
Greg Monroe,PF/C,30.524504,7400
Donatas Motiejunas,SF/PF,4.924864,3000
Chandler Parsons,SF/PF,27.321091,7000
Kyle Singler,SG/SF,14.263981,3400
Greg Smith,PF/C,7.157236,3000
Josh Smith,SF/PF,32.849238,7600
Pau Gasol,PF/C,31.584452,7200
Xavier Henry,SG/SF,19.058878,4000
Jordan Hill,PF/C,21.051831,4700
Wesley Johnson,SG/SF,19.295626,4200
Chris Kaman,PF/C,16.355915,3500
Jodie Meeks,SG,21.838711,3500
Robert Sacre,C,11.697498,3000
Shawne Williams,SF/PF,13.502517,3400
Nick Young,SG/SF,25.740442,5200
Harrison Barnes,SF/PF,20.498528,4900
Kent Bazemore,SG/SF,4.651676,3000
Andrew Bogut,C,25.905954,5900
Stephen Curry,PG/SG,46.271152,10100
Toney Douglas,PG/SG,8.313044,3000
Draymond Green,SF,14.162333,3300
Andre Iguodala,SG/SF,28.418632,5400
David Lee,PF/C,30.882827,8000
Marreese Speights,PF/C,9.161810,3000
Klay Thompson,SG/SF,30.620055,6000
Darrell Arthur,PF/C,13.020442,3000
Wilson Chandler,SG/SF,24.693971,5700
Kenneth Faried,PF,25.553476,5700
Evan Fournier,SG,7.124956,3000
Randy Foye,PG/SG,17.297437,3300
J.J. Hickson,PF/C,27.238819,6000
Ty Lawson,PG,34.863688,7100
Andre Miller,PG/SG,14.981685,3700
Timofey Mozgov,C,10.883289,3600
Anthony Randolph,PF/C,13.529196,3000
Nate Robinson,PG/SG,18.651422,4600
Darren Collison,PG,14.656861,3600
Jamal Crawford,PG/SG,24.330204,5700
Jared Dudley,SG/SF,16.216354,4400
Willie Green,SG,9.834000,3000
Blake Griffin,PF/C,42.866704,8500
Ryan Hollins,C,4.417640,3000
