name,position,projection,salary
Pero Antic,C,7.981741,5000
Elton Brand,PF/C,9.225343,5500
Trey Burke,PG,25.597670,11500
Alec Burks,SG,20.367458,8400
DeMarre Carroll,SF,20.407845,10000
Jeremy Evans,SF/PF,20.895682,6600
Derrick Favors,PF,33.481141,11600
Diante Garrett,PG,8.920484,5500
Gordon Hayward,SG/SF,33.610433,12300
Al Horford,C,43.547760,14900
Richard Jefferson,SF,17.347369,6000
John Jenkins,SG,5.346830,5000
Enes Kanter,C,21.896992,10100
Kyle Korver,SG/SF,22.747764,9900
Shelvin Mack,PG,14.757357,6200
Paul Millsap,PF,33.225972,13700
Brandon Rush,SG,5.424342,6000
Mike Scott,PF,10.993256,5200
Jeff Teague,PG,31.575780,12300
Louis Williams,SG,16.582200,7500
Marvin Williams,SF,22.370499,8100
Giannis Antetokounmpo,SG/SF,14.454716,8000
John Henson,PF,25.311665,13300
Ersan Ilyasova,PF,14.982013,8000
Brandon Knight,PG,21.036924,10400
Khris Middleton,SF,16.738171,8100
Luke Ridnour,PG,11.900177,5500
Ekpe Udoh,C,11.198783,8000
Nate Wolters,PG,16.493020,7500
Anthony Bennett,SF,5.441316,5000
Andrew Bynum,C,19.554498,7500
Earl Clark,SF,11.443738,5500
Matthew Dellavedova,PG,7.772668,5500
Alonzo Gee,SF,9.184159,7500
Kyrie Irving,PG,33.496562,14300
Jarrett Jack,PG/SG,19.071515,8400
C.J. Miles,None,13.717326,-1
Tristan Thompson,PF,26.152275,9200
Anderson Varejao,C,24.625796,9600
Dion Waiters,SG,22.818707,10300
DeJuan Blair,C,19.455198,9300
Jose Calderon,PG,20.161920,8700
Vince Carter,SG/SF,19.024127,9600
Jae Crowder,SF,10.770211,8000
Samuel Dalembert,C,17.878507,6800
DeMar DeRozan,SG,29.791404,13900
Wayne Ellington,SG,4.875732,6000
Monta Ellis,SG,31.810496,12200
Tyler Hansbrough,PF/C,14.582143,5500
Bernard James,C,5.177067,5000
Amir Johnson,PF,25.156445,11400
Shane Larkin,PG,8.036472,6000
Kyle Lowry,PG,27.620864,13400
Shawn Marion,SF,23.355554,10900
Gal Mekel,PG,6.629104,5000
Dirk Nowitzki,PF,31.903533,14100
Patrick Patterson,PF,16.425559,6000
Terrence Ross,SG,12.175068,8000
John Salmons,SG,13.480863,7500
Jonas Valanciunas,C,17.973663,9800
Greivis Vasquez,PG,17.456348,7700
Brandan Wright,PF,18.922424,9300
Eric Bledsoe,PG,33.821622,13000
Goran Dragic,PG,30.847666,12500
Channing Frye,PF/C,19.093779,8900
Archie Goodwin,SG,6.711620,5500
Gerald Green,SG/SF,16.085868,7200
Marcus Morris,PF,16.864181,7500
Markieff Morris,PF,20.681882,9300
Miles Plumlee,C,22.822671,10800
P.J. Tucker,None,18.067929,-1
Darrell Arthur,PF,11.117100,6000
Wilson Chandler,SF,21.054218,10000
Kenneth Faried,PF,22.341469,9400
Evan Fournier,SG,6.439928,5000
Randy Foye,SG,15.876255,6000
Jordan Hamilton,SF,15.706928,7500
J.J. Hickson,None,23.291053,-1
Ty Lawson,PG,33.625723,12200
Andre Miller,PG,14.364835,7500
Quincy Miller,SF,1.619462,5000
Timofey Mozgov,C,17.379880,6600
Nate Robinson,PG,17.559896,9200
Chauncey Billups,PG/SG,10.908821,5000
Bismack Biyombo,C,12.837675,5500
Will Bynum,PG,12.773027,5000
Kentavious Caldwell-Pope,SG,12.134226,8000
Andre Drummond,C,34.680936,13000
Ben Gordon,SG,9.165443,7500
Josh Harrellson,PF/C,7.234394,5500
Gerald Henderson,SG,23.870269,10800
Al Jefferson,C,33.378678,13400
Brandon Jennings,PG,30.060012,12300
Jonas Jerebko,PF,5.643266,5000
Josh McRoberts,PF,23.866214,9400
Greg Monroe,PF/C,28.761009,11500
Ramon Sessions,PG,16.194212,8000
Kyle Singler,SF,13.081956,7500
Josh Smith,PF,30.276475,13800
Jeff Taylor,SG/SF,12.962830,7500
Anthony Tolliver,PF,8.563578,5000
Kemba Walker,PG,29.144137,13500
Cody Zeller,PF,11.985026,6000
Patrick Beverley,PG,19.122270,8000
Ronnie Brewer,SF,1.913345,5000
Aaron Brooks,PG,11.658309,7500
Rasual Butler,SG/SF,3.880660,6000
Omri Casspi,SF,15.564292,8700
Francisco Garcia,SG/SF,13.232188,5500
Paul George,SG,36.171418,16200
James Harden,SG,35.934063,15100
Roy Hibbert,C,29.683451,12000
George Hill,PG,21.240284,8400
Dwight Howard,C,35.862715,13900
Terrence Jones,SF/PF,20.894810,8000
Ian Mahinmi,C,8.172806,6000
Chandler Parsons,SF,27.722512,13000
Luis Scola,PF,13.422407,6200
Greg Smith,PF,6.979105,6000
Lance Stephenson,SG,25.608162,10700
C.J. Watson,None,11.755529,-1
David West,PF,25.877868,10600
Jose Barea,PG,15.134497,7800
Corey Brewer,SF,20.762831,9900
Dante Cunningham,PF,14.634967,7500
Kevin Love,PF/C,47.532341,19000
Kevin Martin,SG,28.910303,11500
Luc Mbah a Moute,SF,11.215278,7500
Nikola Pekovic,C,31.978793,11900
Ricky Rubio,PG,28.519768,12000
Alexey Shved,SG,5.932337,7500
Kobe Bryant,SG,23.869414,10800
Pau Gasol,PF,28.528047,12700
Xavier Henry,SF,14.078683,7500
Jordan Hill,PF,20.325975,8600
