"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF/PF","Kevin Durant",11500,"Tor@OKC 07:00PM ET",50.692
"PF/C","Kevin Love",11300,"Min@LAC 09:30PM ET",52.240
"PG","Chris Paul",9800,"Min@LAC 09:30PM ET",47.389
"PG","Russell Westbrook",9000,"Tor@OKC 07:00PM ET",41.598
"SG/SF","Paul George",8800,"Bos@Ind 06:00PM ET",41.567
"PF/C","Blake Griffin",8700,"Min@LAC 09:30PM ET",41.616
"PG","Rajon Rondo",8200,"Bos@Ind 06:00PM ET",0
"SG/SF","DeMar DeRozan",7700,"Tor@OKC 07:00PM ET",34.344
"C","Nikola Pekovic",7300,"Min@LAC 09:30PM ET",30.907
"PG","Kyle Lowry",7200,"Tor@OKC 07:00PM ET",33.229
"PG","Ricky Rubio",7000,"Min@LAC 09:30PM ET",31.889
"PF/C","Serge Ibaka",6800,"Tor@OKC 07:00PM ET",32.981
"PF","David West",6700,"Bos@Ind 06:00PM ET",29.894
"C","Roy Hibbert",6700,"Bos@Ind 06:00PM ET",30.731
"C","DeAndre Jordan",6600,"Min@LAC 09:30PM ET",33.420
"SG","Lance Stephenson",6500,"Bos@Ind 06:00PM ET",30.019
"SG/SF","Jeff Green",6400,"Bos@Ind 06:00PM ET",25.705
"PF/C","Amir Johnson",6300,"Tor@OKC 07:00PM ET",25.750
"PF/C","Jared Sullinger",6000,"Bos@Ind 06:00PM ET",28.029
"SG/SF","Kevin Martin",5800,"Min@LAC 09:30PM ET",30.800
"C","Jonas Valanciunas",5800,"Tor@OKC 07:00PM ET",23.479
"PG/SG","Jamal Crawford",5700,"Min@LAC 09:30PM ET",25.170
"PG/SG","George Hill",5600,"Bos@Ind 06:00PM ET",24.478
"PG/SG","Jordan Crawford",5600,"Bos@Ind 06:00PM ET",28.027
"SG","J.J. Redick",5400,"Min@LAC 09:30PM ET",24.147
"PF/C","Brandon Bass",5200,"Bos@Ind 06:00PM ET",24.607
"PG/SG","Greivis Vasquez",5200,"Tor@OKC 07:00PM ET",20.523
"PG/SG","Avery Bradley",4800,"Bos@Ind 06:00PM ET",23.143
"PG","Reggie Jackson",4700,"Tor@OKC 07:00PM ET",23.798
"C","Kelly Olynyk",4600,"Bos@Ind 06:00PM ET",15.444
"SF","Shabazz Muhammad",4600,"Min@LAC 09:30PM ET",2.188
"SG/SF","Corey Brewer",4500,"Min@LAC 09:30PM ET",21.787
"SG/SF","Jared Dudley",4400,"Min@LAC 09:30PM ET",15.634
"SG/SF","Terrence Ross",4200,"Tor@OKC 07:00PM ET",14.271
"PF/C","Luis Scola",4100,"Bos@Ind 06:00PM ET",16.260
"SG/SF","Jeremy Lamb",4100,"Tor@OKC 07:00PM ET",16.683
"PG","Phil Pressey",4000,"Bos@Ind 06:00PM ET",7.680
"SF","Matt Barnes",3800,"Min@LAC 09:30PM ET",17.361
"SG/SF","Chase Budinger",3700,"Min@LAC 09:30PM ET",0
"PG","Darren Collison",3600,"Min@LAC 09:30PM ET",14.920
"PG","J.J. Barea",3600,"Min@LAC 09:30PM ET",16.611
"PF","Dante Cunningham",3500,"Min@LAC 09:30PM ET",15.222
"SF/PF","Gerald Wallace",3400,"Bos@Ind 06:00PM ET",14.732
"PF/C","Patrick Patterson",3300,"Tor@OKC 07:00PM ET",16.857
"C","Steven Adams",3300,"Tor@OKC 07:00PM ET",13.817
"PF","Kris Humphries",3100,"Bos@Ind 06:00PM ET",14.000
"SF/PF","Andre Roberson",3100,"Tor@OKC 07:00PM ET",5.273
"PF/C","Tyler Hansbrough",3100,"Tor@OKC 07:00PM ET",14.125
"SG/SF","John Salmons",3100,"Tor@OKC 07:00PM ET",14.898
"SG/SF","Thabo Sefolosha",3100,"Tor@OKC 07:00PM ET",16.773
"PG/SG","Alexey Shved",3000,"Min@LAC 09:30PM ET",6.823
"SF","Orlando Johnson",3000,"Bos@Ind 06:00PM ET",7.094
"C","Vitor Faverani",3000,"Bos@Ind 06:00PM ET",12.661
"PG","Dwight Buycks",3000,"Tor@OKC 07:00PM ET",7.708
"SF/PF","Perry Jones",3000,"Tor@OKC 07:00PM ET",7.324
"SF","Solomon Hill",3000,"Bos@Ind 06:00PM ET",4.750
"PG/SG","Maalik Wayns",3000,"Min@LAC 09:30PM ET",0
"C","Gorgui Dieng",3000,"Min@LAC 09:30PM ET",6.650
"PF/C","Byron Mullens",3000,"Min@LAC 09:30PM ET",6.188
"SG/SF","Reggie Bullock",3000,"Min@LAC 09:30PM ET",5.044
"PF/C","Ronny Turiaf",3000,"Min@LAC 09:30PM ET",6.875
"SF","Danny Granger",3000,"Bos@Ind 06:00PM ET",12.500
"SF/PF","Ryan Gomes",3000,"Tor@OKC 07:00PM ET",2.188
"PG","C.J. Watson",3000,"Bos@Ind 06:00PM ET",13.770
"SF/PF","Steve Novak",3000,"Tor@OKC 07:00PM ET",7.300
"SG/SF","Rasual Butler",3000,"Bos@Ind 06:00PM ET",4.318
"PF/C","Chuck Hayes",3000,"Tor@OKC 07:00PM ET",7.250
"PF","Antawn Jamison",3000,"Min@LAC 09:30PM ET",9.827
"SG/SF","Stephen Jackson",3000,"Min@LAC 09:30PM ET",5.333
"PG","Derek Fisher",3000,"Tor@OKC 07:00PM ET",7.360
"SG","Willie Green",3000,"Min@LAC 09:30PM ET",9.844
"SG/SF","Keith Bogans",3000,"Bos@Ind 06:00PM ET",0.688
"PF/C","Nick Collison",3000,"Tor@OKC 07:00PM ET",11.400
"SF/PF","Chris Copeland",3000,"Bos@Ind 06:00PM ET",4.833
"SF/PF","Robbie Hummel",3000,"Min@LAC 09:30PM ET",8.700
"PG/SG","Donald Sloan",3000,"Bos@Ind 06:00PM ET",7.409
"SG/SF","Landry Fields",3000,"Tor@OKC 07:00PM ET",8.694
"SF/PF","Austin Daye",3000,"Tor@OKC 07:00PM ET",2.542
"SG/SF","Julyan Stone",3000,"Tor@OKC 07:00PM ET",3.604
"SG/SF","MarShon Brooks",3000,"Bos@Ind 06:00PM ET",4.781
"C","Hasheem Thabeet",3000,"Tor@OKC 07:00PM ET",5.063
"SG/SF","Courtney Lee",3000,"Bos@Ind 06:00PM ET",11.720
"C","Kendrick Perkins",3000,"Tor@OKC 07:00PM ET",10.729
"C","Ryan Hollins",3000,"Min@LAC 09:30PM ET",5.160
"PG","A.J. Price",3000,"Min@LAC 09:30PM ET",2.475
"SF/PF","Luc Richard Mbah a Moute",3000,"Min@LAC 09:30PM ET",11.974
"C","Ian Mahinmi",3000,"Bos@Ind 06:00PM ET",8.890
