"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SF/PF","Kevin Durant",10700,"OKC@Den 09:00PM ET",51.174
"PG/SG","Stephen Curry",10100,"NO@GS 10:30PM ET",47.193
"PF/C","LaMarcus Aldridge",9600,"Por@Cle 07:00PM ET",45.080
"PF/C","Anthony Davis",9600,"NO@GS 10:30PM ET",44.547
"PF/C","DeMarcus Cousins",9500,"Sac@Cha 07:00PM ET",44.774
"PG","Russell Westbrook",8600,"OKC@Den 09:00PM ET",41.175
"PG/SG","Kyrie Irving",8100,"Por@Cle 07:00PM ET",35.576
"PG","Jrue Holiday",7900,"NO@GS 10:30PM ET",36.364
"PG","Kemba Walker",7700,"Sac@Cha 07:00PM ET",32.604
"C","Marc Gasol",7700,"LAL@Mem 08:00PM ET",34.692
"PG","Damian Lillard",7600,"Por@Cle 07:00PM ET",35.390
"PF/C","David Lee",7500,"NO@GS 10:30PM ET",33.560
"PF/C","Al Jefferson",7500,"Sac@Cha 07:00PM ET",34.933
"SG/SF","Nicolas Batum",7200,"Por@Cle 07:00PM ET",33.300
"SG/SF","Andre Iguodala",7100,"NO@GS 10:30PM ET",31.904
"PG","Mike Conley",7000,"LAL@Mem 08:00PM ET",33.098
"PF/C","Ryan Anderson",7000,"NO@GS 10:30PM ET",33.731
"PF/C","Zach Randolph",7000,"LAL@Mem 08:00PM ET",31.988
"PF/C","Pau Gasol",6900,"LAL@Mem 08:00PM ET",33.115
"SG","Kobe Bryant",6900,"LAL@Mem 08:00PM ET",27.450
"PF/C","Serge Ibaka",6900,"OKC@Den 09:00PM ET",33.315
"SF/PF","Rudy Gay",6800,"Sac@Cha 07:00PM ET",37.363
"PG","Isaiah Thomas",6800,"Sac@Cha 07:00PM ET",32.227
"PG","Ty Lawson",6600,"OKC@Den 09:00PM ET",36.524
"SG/SF","Klay Thompson",6500,"NO@GS 10:30PM ET",31.700
"PF/C","Tristan Thompson",6100,"Por@Cle 07:00PM ET",27.413
"C","Andrew Bogut",5900,"NO@GS 10:30PM ET",27.042
"SG","Eric Gordon",5800,"NO@GS 10:30PM ET",27.886
"PF/C","Anderson Varejao",5700,"Por@Cle 07:00PM ET",26.065
"SF","Danilo Gallinari",5700,"OKC@Den 09:00PM ET",0
"C","Robin Lopez",5700,"Por@Cle 07:00PM ET",25.780
"SG/SF","Gerald Henderson",5700,"Sac@Cha 07:00PM ET",26.167
"SG/SF","Wesley Matthews",5600,"Por@Cle 07:00PM ET",27.290
"SF/PF","Harrison Barnes",5600,"NO@GS 10:30PM ET",24.179
"PF/C","Cody Zeller",5600,"Sac@Cha 07:00PM ET",13.323
"PF/C","J.J. Hickson",5600,"OKC@Den 09:00PM ET",25.348
"SG/SF","Wilson Chandler",5600,"OKC@Den 09:00PM ET",23.632
"PF","Kenneth Faried",5500,"OKC@Den 09:00PM ET",24.750
"SF","Al-Farouq Aminu",5400,"NO@GS 10:30PM ET",20.929
"C","JaVale McGee",5300,"OKC@Den 09:00PM ET",14.250
"SG","Dion Waiters",5200,"Por@Cle 07:00PM ET",23.905
"SF","Michael Kidd-Gilchrist",5000,"Sac@Cha 07:00PM ET",18.486
"SG","Ben McLemore",5000,"Sac@Cha 07:00PM ET",16.227
"SG/SF","Nick Young",5000,"LAL@Mem 08:00PM ET",22.333
"SG/SF","Tyreke Evans",5000,"NO@GS 10:30PM ET",24.476
"PF/C","Jordan Hill",4800,"LAL@Mem 08:00PM ET",23.875
"PG/SG","Jarrett Jack",4800,"Por@Cle 07:00PM ET",20.543
"PF/C","Jason Smith",4800,"NO@GS 10:30PM ET",22.466
"SF/PF","Anthony Bennett",4700,"Por@Cle 07:00PM ET",5.750
"PF/C","Kosta Koufos",4700,"LAL@Mem 08:00PM ET",20.326
"SF/PF","Derrick Williams",4700,"Sac@Cha 07:00PM ET",15.600
"PG","Reggie Jackson",4700,"OKC@Den 09:00PM ET",23.641
"PF/C","Josh McRoberts",4700,"Sac@Cha 07:00PM ET",24.728
"SF/PF","Carl Landry",4600,"Sac@Cha 07:00PM ET",0
"PG/SG","Nate Robinson",4600,"OKC@Den 09:00PM ET",19.533
"PF/C","Jon Leuer",4600,"LAL@Mem 08:00PM ET",18.125
"PG/SG","Steve Blake",4600,"LAL@Mem 08:00PM ET",27.107
"C","Andrew Bynum",4500,"Por@Cle 07:00PM ET",18.382
"PG","Steve Nash",4500,"LAL@Mem 08:00PM ET",16.208
"PG/SG","Mo Williams",4400,"Por@Cle 07:00PM ET",19.813
"PG/SG","Ramon Sessions",4300,"Sac@Cha 07:00PM ET",17.823
"PF/C","Jason Thompson",4200,"Sac@Cha 07:00PM ET",16.568
"SG/SF","Wesley Johnson",4200,"LAL@Mem 08:00PM ET",20.104
"PF/C","Ed Davis",4200,"LAL@Mem 08:00PM ET",13.794
"SG/SF","Tony Allen",3900,"LAL@Mem 08:00PM ET",21.903
"PG/SG","Andre Miller",3900,"OKC@Den 09:00PM ET",16.370
"SG/SF","Jeremy Lamb",3900,"OKC@Den 09:00PM ET",16.467
"SF","Jordan Hamilton",3800,"OKC@Den 09:00PM ET",17.893
"SG","Jodie Meeks",3800,"LAL@Mem 08:00PM ET",19.240
"PG/SG","Jerryd Bayless",3700,"LAL@Mem 08:00PM ET",13.988
"C","Timofey Mozgov",3700,"OKC@Den 09:00PM ET",19.174
"SG/SF","Jamaal Franklin",3700,"LAL@Mem 08:00PM ET",5.639
"SG/SF","Xavier Henry",3600,"LAL@Mem 08:00PM ET",16.500
"PF/C","Chris Kaman",3500,"LAL@Mem 08:00PM ET",17.500
"PG/SG","Randy Foye",3500,"OKC@Den 09:00PM ET",18.359
"SG","Marcus Thornton",3400,"Sac@Cha 07:00PM ET",15.875
"PG","Jordan Farmar",3400,"LAL@Mem 08:00PM ET",20.875
"PG/SG","Austin Rivers",3300,"NO@GS 10:30PM ET",6.922
"SF/PF","Shawne Williams",3300,"LAL@Mem 08:00PM ET",14.295
"SF/PF","Tayshaun Prince",3300,"LAL@Mem 08:00PM ET",13.804
"SG/SF","Jeffery Taylor",3200,"Sac@Cha 07:00PM ET",13.935
"SF","Draymond Green",3200,"NO@GS 10:30PM ET",15.820
"C","Steven Adams",3200,"OKC@Den 09:00PM ET",13.717
"SF/PF","Andre Roberson",3100,"OKC@Den 09:00PM ET",6.083
"SG","Allen Crabbe",3100,"Por@Cle 07:00PM ET",3.893
"SG/SF","C.J. Miles",3100,"Por@Cle 07:00PM ET",15.211
"SG","Evan Fournier",3000,"OKC@Den 09:00PM ET",7.413
"SG","Sergey Karasev",3000,"Por@Cle 07:00PM ET",4.646
"C","Henry Sims",3000,"Por@Cle 07:00PM ET",5.875
"C","Ognjen Kuzmic",3000,"NO@GS 10:30PM ET",1.525
"PG/SG","Nemanja Nedovic",3000,"NO@GS 10:30PM ET",2.903
"SG/SF","Carrick Felix",3000,"Por@Cle 07:00PM ET",2.333
"SF","Quincy Miller",3000,"OKC@Den 09:00PM ET",2.750
"PG","Matthew Dellavedova",3000,"Por@Cle 07:00PM ET",8.344
"PG/SG","C.J. McCollum",3000,"Por@Cle 07:00PM ET",0
"PF","Thomas Robinson",3000,"Por@Cle 07:00PM ET",10.950
