Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
PF-C,Kevin Love,MIN,MIN @ LAC, 9:30 PM,48.3,19500,"",
SF,Kevin Durant,OKC,OKC vs TOR, 7:00 PM,47.5,19500,"",
PG,Chris Paul,LAC,LAC vs MIN, 9:30 PM,44.4,17500,"",
SG,Paul George,IND,IND vs BOS, 6:00 PM,38.8,15900,"",
PG,Russell Westbrook,OKC,OKC vs TOR, 7:00 PM,38.4,15300,"",
PF,Blake Griffin,LAC,LAC vs MIN, 9:30 PM,39.1,15100,"",
SG,DeMar DeRozan,TOR,TOR @ OKC, 7:00 PM,32.6,13500,"",
PF,Jared Sullinger,BOS,BOS @ IND, 6:00 PM,26.5,12800,"",
C,DeAndre Jordan,LAC,LAC vs MIN, 9:30 PM,32.0,12800,"",
C,Nikola Pekovic,MIN,MIN @ LAC, 9:30 PM,29.5,12700,"",
PG,Kyle Lowry,TOR,TOR @ OKC, 7:00 PM,30.8,12400,"",
C,Roy Hibbert,IND,IND vs BOS, 6:00 PM,29.3,12000,"",
PG,Ricky Rubio,MIN,MIN @ LAC, 9:30 PM,29.7,12000,"",
SG,Kevin Martin,MIN,MIN @ LAC, 9:30 PM,28.9,11500,"",
PF,David West,IND,IND vs BOS, 6:00 PM,28.8,11000,"",
PF,Amir Johnson,TOR,TOR @ OKC, 7:00 PM,24.5,11000,"",
SG,Lance Stephenson,IND,IND vs BOS, 6:00 PM,27.7,10700,"",
C,Jonas Valanciunas,TOR,TOR @ OKC, 7:00 PM,22.1,10300,"",
SG,JJ Redick,LAC,LAC vs MIN, 9:30 PM,22.8,10200,"",OUT
SG,Jordan Crawford,BOS,BOS @ IND, 6:00 PM,26.0,10100,"",
SF,Corey Brewer,MIN,MIN @ LAC, 9:30 PM,20.3,9900,"",
PG-SG,Avery Bradley,BOS,BOS @ IND, 6:00 PM,21.6,9800,"",
PF-C,Serge Ibaka,OKC,OKC vs TOR, 7:00 PM,31.4,9800,"",
SG,Jamal Crawford,LAC,LAC vs MIN, 9:30 PM,23.0,9400,"",
SF-PF,Jeff Green,BOS,BOS @ IND, 6:00 PM,24.1,8800,"",
PF,Brandon Bass,BOS,BOS @ IND, 6:00 PM,23.9,8600,"",
C,Vitor Faverani,BOS,BOS @ IND, 6:00 PM,11.8,8300,"",
PG,Reggie Jackson,OKC,OKC vs TOR, 7:00 PM,22.4,8200,"",
PG,George Hill,IND,IND vs BOS, 6:00 PM,23.0,8000,"",
SF,Jared Dudley,LAC,LAC vs MIN, 9:30 PM,14.4,8000,"",
SG,John Salmons,TOR,TOR @ OKC, 7:00 PM,14.1,8000,"",
SG,Jeremy Lamb,OKC,OKC vs TOR, 7:00 PM,15.8,7500,"",
SF,Luc Mbah a Moute,MIN,MIN @ LAC, 9:30 PM,11.6,7500,"",
PF,Dante Cunningham,MIN,MIN @ LAC, 9:30 PM,15.0,7500,"",
PG,Jose Barea,MIN,MIN @ LAC, 9:30 PM,15.5,7500,"",
C,Kendrick Perkins,OKC,OKC vs TOR, 7:00 PM,10.1,7500,"",
SG,Terrence Ross,TOR,TOR @ OKC, 7:00 PM,13.1,7500,"",
C,Steven Adams,OKC,OKC vs TOR, 7:00 PM,13.3,7500,"",
SG,Alexey Shved,MIN,MIN @ LAC, 9:30 PM,6.4,7500,"",
SG,Willie Green,LAC,LAC vs MIN, 9:30 PM,9.2,7500,"",
PG,Greivis Vasquez,TOR,TOR @ OKC, 7:00 PM,19.2,7500,"",
PF,Luis Scola,IND,IND vs BOS, 6:00 PM,15.4,7000,"",
SG,Thabo Sefolosha,OKC,OKC vs TOR, 7:00 PM,16.0,6800,"",
PG,Darren Collison,LAC,LAC vs MIN, 9:30 PM,14.0,6200,"",
C,Ian Mahinmi,IND,IND vs BOS, 6:00 PM,8.5,6000,"",
PF-C,Nick Collison,OKC,OKC vs TOR, 7:00 PM,10.9,6000,"",
SF,Gerald Wallace,BOS,BOS @ IND, 6:00 PM,13.6,6000,"",
PF,Patrick Patterson,TOR,TOR @ OKC, 7:00 PM,16.1,6000,"",
PF,Kris Humphries,BOS,BOS @ IND, 6:00 PM,13.6,6000,"",
SF,Danny Granger,IND,IND vs BOS, 6:00 PM,9.5,6000,"",
PG-SG,CJ Watson,IND,IND vs BOS, 6:00 PM,12.9,5800,"",
PF-C,Tyler Hansbrough,TOR,TOR @ OKC, 7:00 PM,13.7,5500,"",
PG,Derek Fisher,OKC,OKC vs TOR, 7:00 PM,7.0,5500,"",
SF,Robbie Hummel,MIN,MIN @ LAC, 9:30 PM,8.3,5500,"",
SF,Stephen Jackson,LAC,LAC vs MIN, 9:30 PM,5.0,5500,"",
SG,Courtney Lee,BOS,BOS @ IND, 6:00 PM,10.9,5500,"",
PG,Rajon Rondo,BOS,BOS @ IND, 6:00 PM,0,5000,"",OUT
SG,Orlando Johnson,IND,IND vs BOS, 6:00 PM,6.7,5000,"",
PG,Donald Sloan,IND,IND vs BOS, 6:00 PM,7.1,5000,"",
PG,Phil Pressey,BOS,BOS @ IND, 6:00 PM,7.3,5000,"",
C,Kelly Olynyk,BOS,BOS @ IND, 6:00 PM,14.3,5000,"",
SF,Ryan Gomes,OKC,OKC vs TOR, 7:00 PM,2.1,5000,"",
SF,Austin Daye,TOR,TOR @ OKC, 7:00 PM,2.5,5000,"",
SG,Julyan Stone,TOR,TOR @ OKC, 7:00 PM,3.4,5000,"",
C,Hasheem Thabeet,OKC,OKC vs TOR, 7:00 PM,4.8,5000,"",
SG-SF,Andre Roberson,OKC,OKC vs TOR, 7:00 PM,4.9,5000,"",
SF,Steve Novak,TOR,TOR @ OKC, 7:00 PM,6.7,5000,"",
SF,Matt Barnes,LAC,LAC vs MIN, 9:30 PM,16.4,5000,"",
PF,Perry Jones,OKC,OKC vs TOR, 7:00 PM,6.9,5000,"",
PF,Chuck Hayes,TOR,TOR @ OKC, 7:00 PM,7.0,5000,"",
PG,Dwight Buycks,TOR,TOR @ OKC, 7:00 PM,7.3,5000,"",
PF,Antawn Jamison,LAC,LAC vs MIN, 9:30 PM,9.3,5000,"",
SF,Landry Fields,TOR,TOR @ OKC, 7:00 PM,8.5,5000,"",
C,Ronny Turiaf,MIN,MIN @ LAC, 9:30 PM,6.9,5000,"",OUT
C,Gorgui Dieng,MIN,MIN @ LAC, 9:30 PM,6.4,5000,"",
C,Byron Mullens,LAC,LAC vs MIN, 9:30 PM,5.7,5000,"",
C,Ryan Hollins,LAC,LAC vs MIN, 9:30 PM,4.8,5000,"",
SG,Reggie Bullock,LAC,LAC vs MIN, 9:30 PM,4.6,5000,"",OUT
PG,AJ Price,MIN,MIN @ LAC, 9:30 PM,2.2,5000,"",
SF,Shabazz Muhammad,MIN,MIN @ LAC, 9:30 PM,2.0,5000,"",
PG,Maalik Wayns,LAC,LAC vs MIN, 9:30 PM,0,5000,"",OUT
SF,Solomon Hill,IND,IND vs BOS, 6:00 PM,4.4,5000,"",
SF,Chase Budinger,MIN,MIN @ LAC, 9:30 PM,0,5000,"",OUT
SG,MarShon Brooks,BOS,BOS @ IND, 6:00 PM,4.3,5000,"",
SF,Chris Copeland,IND,IND vs BOS, 6:00 PM,4.3,5000,"",
SG-SF,Rasual Butler,IND,IND vs BOS, 6:00 PM,3.9,5000,"",
SG-SF,Keith Bogans,BOS,BOS @ IND, 6:00 PM,0.6,5000,"",
