Position,Name,Team,Opponent,Game Time,Avg Fantasy Points,Price,Starter,Injury Status
SF,Kevin Durant,OKC,OKC @ SAS, 8:30 PM,48.1,19500,"",
PG,Stephen Curry,GSW,GSW vs LAL,10:30 PM,43.7,19000,"",
C,DeMarcus Cousins,SAC,SAC @ ORL, 7:00 PM,43.2,17800,"",
PF,LaMarcus Aldridge,POR,POR vs NOP,10:00 PM,43.6,17600,"",
PG,Chris Paul,LAC,LAC vs DEN,10:30 PM,44.8,17500,"",
PG,Damian Lillard,POR,POR vs NOP,10:00 PM,34.9,17100,"",
PF-C,Anthony Davis,NOP,NOP @ POR,10:00 PM,42.9,16800,"",
PG,Russell Westbrook,OKC,OKC @ SAS, 8:30 PM,38.1,15300,"",
PF,Blake Griffin,LAC,LAC vs DEN,10:30 PM,38.7,15100,"",
PF,David Lee,GSW,GSW vs LAL,10:30 PM,33.0,15100,"",
PF,Josh Smith,DET,DET vs HOU, 7:30 PM,32.1,14900,"",
PG,Brandon Jennings,DET,DET vs HOU, 7:30 PM,34.0,14800,"",
SG,James Harden,HOU,HOU @ DET, 7:30 PM,37.9,14300,"",OUT
PG,Kyrie Irving,CLE,CLE @ CHI, 8:00 PM,34.5,14300,"",OUT
PF,Tim Duncan,SAS,SAS vs OKC, 8:30 PM,32.5,14300,"",OUT
PF,Dirk Nowitzki,DAL,DAL @ PHO, 9:00 PM,35.1,14100,"",
C,Dwight Howard,HOU,HOU @ DET, 7:30 PM,38.7,13900,"",
PG,Kemba Walker,CHA,CHA vs UTA, 7:00 PM,31.9,13600,"",
PF,John Henson,MIL,MIL vs PHI, 8:30 PM,29.5,13400,"",
C,Al Jefferson,CHA,CHA vs UTA, 7:00 PM,34.7,13400,"",
SF,Luol Deng,CHI,CHI vs CLE, 8:00 PM,34.1,13400,"",OUT
SG,Victor Oladipo,ORL,ORL vs SAC, 7:00 PM,25.6,13200,"",
PG,Eric Bledsoe,PHO,PHO vs DAL, 9:00 PM,33.8,13000,"",
C,Andre Drummond,DET,DET vs HOU, 7:30 PM,34.7,13000,"",
C,Nikola Vucevic,ORL,ORL vs SAC, 7:00 PM,33.6,13000,"",
SF,Chandler Parsons,HOU,HOU @ DET, 7:30 PM,30.4,13000,"",
SG,Tyreke Evans,NOP,NOP @ POR,10:00 PM,24.2,12800,"",
C,DeAndre Jordan,LAC,LAC vs DEN,10:30 PM,32.2,12800,"",
PF,Pau Gasol,LAL,LAL @ GSW,10:30 PM,32.2,12700,"",
SG-SF,Arron Afflalo,ORL,ORL vs SAC, 7:00 PM,32.8,12700,"",OUT
C,Joakim Noah,CHI,CHI vs CLE, 8:00 PM,30.3,12500,"",
PG,Isaiah Thomas,SAC,SAC @ ORL, 7:00 PM,30.0,12500,"",
PG,Goran Dragic,PHO,PHO vs DAL, 9:00 PM,31.7,12400,"",
PG,Jrue Holiday,NOP,NOP @ POR,10:00 PM,33.5,12300,"",
C,Spencer Hawes,PHI,PHI @ MIL, 8:30 PM,32.3,12200,"",
PF,Ryan Anderson,NOP,NOP @ POR,10:00 PM,30.8,12200,"",
PG,Ty Lawson,DEN,DEN @ LAC,10:30 PM,34.3,12200,"",OUT
SG,Monta Ellis,DAL,DAL @ PHO, 9:00 PM,34.0,12200,"",
PG,Michael Carter-Williams,PHI,PHI @ MIL, 8:30 PM,39.9,12200,"",OUT
SF,Nicolas Batum,POR,POR vs NOP,10:00 PM,30.6,12000,"",
SF,Rudy Gay,SAC,SAC @ ORL, 7:00 PM,33.3,12000,"",
C,JJ Hickson,DEN,DEN @ LAC,10:30 PM,25.0,11700,"",
PF,Derrick Favors,UTA,UTA @ CHA, 7:00 PM,29.9,11700,"",
C,Andrew Bogut,GSW,GSW vs LAL,10:30 PM,26.4,11500,"",
PF-C,Greg Monroe,DET,DET vs HOU, 7:30 PM,30.3,11400,"",
SG-SF,Gordon Hayward,UTA,UTA @ CHA, 7:00 PM,30.7,11300,"",
SF,Kawhi Leonard,SAS,SAS vs OKC, 8:30 PM,25.8,10900,"",
SF,Shawn Marion,DAL,DAL @ PHO, 9:00 PM,25.8,10900,"",
PG,Trey Burke,UTA,UTA @ CHA, 7:00 PM,24.8,10900,"",
SG,Gerald Henderson,CHA,CHA vs UTA, 7:00 PM,26.0,10800,"",
C,Miles Plumlee,PHO,PHO vs DAL, 9:00 PM,25.1,10800,"",
SG,Kobe Bryant,LAL,LAL @ GSW,10:30 PM,25.8,10800,"",OUT
PF,Carlos Boozer,CHI,CHI vs CLE, 8:00 PM,28.6,10700,"",
SG,Manu Ginobili,SAS,SAS vs OKC, 8:30 PM,23.5,10600,"",OUT
PF-C,Glen Davis,ORL,ORL vs SAC, 7:00 PM,26.1,10500,"",
SG,Dion Waiters,CLE,CLE @ CHI, 8:00 PM,22.7,10300,"",OUT
PG,Jameer Nelson,ORL,ORL vs SAC, 7:00 PM,25.9,10200,"",
SG,JJ Redick,LAC,LAC vs DEN,10:30 PM,22.8,10200,"",OUT
SG,Tony Wroten,PHI,PHI @ MIL, 8:30 PM,23.8,10100,"",
C,Enes Kanter,UTA,UTA @ CHA, 7:00 PM,20.4,10100,"",
SF,Wilson Chandler,DEN,DEN @ LAC,10:30 PM,22.6,10000,"",
PG,Jeremy Lin,HOU,HOU @ DET, 7:30 PM,24.0,10000,"",OUT
PF,Thaddeus Young,PHI,PHI @ MIL, 8:30 PM,29.1,9900,"",
SG,Klay Thompson,GSW,GSW vs LAL,10:30 PM,28.5,9900,"",
PF-C,Serge Ibaka,OKC,OKC @ SAS, 8:30 PM,31.1,9800,"",
SG-SF,Vince Carter,DAL,DAL @ PHO, 9:00 PM,19.9,9700,"",
PG,Brandon Knight,MIL,MIL vs PHI, 8:30 PM,22.8,9700,"",
SG,Wesley Matthews,POR,POR vs NOP,10:00 PM,25.2,9700,"",
C,Anderson Varejao,CLE,CLE @ CHI, 8:00 PM,25.0,9600,"",
PF,Josh McRoberts,CHA,CHA vs UTA, 7:00 PM,23.4,9500,"",
SG,Jamal Crawford,LAC,LAC vs DEN,10:30 PM,22.7,9400,"",
PF,Kenneth Faried,DEN,DEN @ LAC,10:30 PM,23.7,9400,"",
SF,Evan Turner,PHI,PHI @ MIL, 8:30 PM,32.4,9400,"",
PG,Tony Parker,SAS,SAS vs OKC, 8:30 PM,28.4,9300,"",OUT
C,DeJuan Blair,DAL,DAL @ PHO, 9:00 PM,21.0,9300,"",
PF,Markieff Morris,PHO,PHO vs DAL, 9:00 PM,24.3,9300,"",
PG,Nate Robinson,DEN,DEN @ LAC,10:30 PM,18.8,9200,"",
PF,Tristan Thompson,CLE,CLE @ CHI, 8:00 PM,26.0,9200,"",
SG,Nick Young,LAL,LAL @ GSW,10:30 PM,21.6,9200,"",
PF-C,Channing Frye,PHO,PHO vs DAL, 9:00 PM,21.2,9000,"",
PG,Jose Calderon,DAL,DAL @ PHO, 9:00 PM,22.3,8700,"",
SF,Omri Casspi,HOU,HOU @ DET, 7:30 PM,16.7,8700,"",
PF-C,Taj Gibson,CHI,CHI vs CLE, 8:00 PM,22.2,8600,"",
PF,Jordan Hill,LAL,LAL @ GSW,10:30 PM,21.8,8600,"",
C,Robin Lopez,POR,POR vs NOP,10:00 PM,23.6,8500,"",
SG,Alec Burks,UTA,UTA @ CHA, 7:00 PM,20.8,8400,"",
PG-SG,Jarrett Jack,CLE,CLE @ CHI, 8:00 PM,19.7,8400,"",
PG,Reggie Jackson,OKC,OKC @ SAS, 8:30 PM,22.0,8200,"",
SF,Khris Middleton,MIL,MIL vs PHI, 8:30 PM,19.4,8200,"",
PF,Andrew Nicholson,ORL,ORL vs SAC, 7:00 PM,16.8,8100,"",
C,Omer Asik,HOU,HOU @ DET, 7:30 PM,13.6,8100,"",OUT
SF,Travis Outlaw,SAC,SAC @ ORL, 7:00 PM,11.5,8000,"",
SF,PJ Tucker,PHO,PHO vs DAL, 9:00 PM,19.9,8000,"",
SF,Shawne Williams,LAL,LAL @ GSW,10:30 PM,13.5,8000,"",
